"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;3;465;13;16;18;9;6;2;0;2;1;3;14;17;8;0;58;1;0;0;12;6;0;0;0;2;1;657
"110002";"ARIQUEMES";1;0;0;64;990;34;26;109;113;3;0;3;5;0;11;180;66;85;0;130;9;15;0;50;20;0;1;0;0;5;1920
"110003";"CABIXI";0;0;0;4;49;4;2;1;4;0;0;0;0;0;0;4;4;4;0;7;0;0;0;4;1;0;1;0;0;5;94
"110004";"CACOAL";0;0;1;52;838;30;38;58;44;8;10;4;14;0;8;112;97;48;8;126;4;6;0;60;16;0;0;0;1;4;1587
"110005";"CEREJEIRAS";0;0;0;9;206;4;7;4;20;0;1;0;2;0;2;18;22;6;0;44;0;0;0;5;4;0;0;0;0;0;354
"110006";"COLORADO DO OESTE";1;0;0;8;163;7;6;9;21;1;0;0;4;0;0;7;28;5;0;21;0;0;0;4;2;0;0;0;0;0;287
"110007";"CORUMBIARA";0;0;0;7;40;0;2;3;3;0;0;0;1;0;0;4;14;1;0;16;0;0;0;0;1;0;0;0;0;0;92
"110008";"COSTA MARQUES";1;0;0;2;103;1;1;8;12;0;1;0;0;0;1;3;17;4;0;24;0;0;0;1;0;0;0;0;0;0;179
"110009";"ESPIGAO D'OESTE";0;0;0;3;452;32;1;33;19;4;0;4;2;0;1;13;24;5;0;41;1;0;0;10;4;0;0;0;0;0;649
"110010";"GUAJARA0MIRIM";0;0;0;24;769;22;15;46;115;1;0;2;1;0;2;49;22;21;2;102;5;0;0;28;4;0;1;0;1;1;1233
"110011";"JARU";1;0;0;191;339;30;10;15;57;4;0;4;2;0;4;71;27;57;3;165;1;0;0;14;3;0;1;0;0;0;999
"110012";"JI0PARANA";0;0;0;48;1088;22;73;38;198;3;2;14;11;1;12;334;164;235;4;424;12;2;0;46;16;0;2;0;1;1;2751
"110013";"MACHADINHO D'OESTE";0;0;0;39;349;14;32;63;52;0;0;3;4;0;2;28;30;53;0;69;3;1;0;17;2;0;0;0;1;4;766
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;3;257;1;6;7;2;3;1;1;1;0;0;16;3;23;1;53;0;0;0;5;5;0;1;0;0;6;395
"110015";"OURO PRETO DO OESTE";0;0;0;17;434;12;5;23;15;3;0;2;3;2;2;80;22;67;2;87;2;0;0;21;6;0;1;0;1;2;809
"110018";"PIMENTA BUENO";0;0;0;7;747;19;23;113;29;0;0;2;3;1;2;101;29;10;0;96;2;0;0;15;2;0;0;0;0;0;1201
"110020";"PORTO VELHO";5;0;0;91;3625;319;176;745;737;24;12;52;25;8;65;409;411;542;10;677;25;6;0;357;72;1;10;0;13;39;8456
"110025";"PRESIDENTE MEDICI";0;0;0;8;114;3;8;9;4;2;1;1;1;0;1;13;11;13;0;50;1;0;0;5;2;0;0;0;1;1;249
"110026";"RIO CRESPO";0;0;0;1;9;0;0;6;2;0;1;0;0;0;1;1;4;2;0;1;0;0;0;0;3;0;0;0;0;0;31
"110028";"ROLIM DE MOURA";0;0;0;87;474;16;6;33;20;7;3;2;5;1;11;57;56;34;5;159;1;1;0;35;10;0;2;0;1;8;1034
"110029";"SANTA LUZIA D'OESTE";0;0;0;5;221;1;8;3;0;0;0;1;3;0;1;10;5;3;0;14;1;0;0;2;1;0;0;0;0;0;279
"110030";"VILHENA";0;0;0;92;643;27;24;42;182;5;6;3;16;0;12;93;148;77;6;182;16;4;0;22;6;0;1;0;1;5;1613
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;11;273;11;5;14;8;0;1;0;1;0;2;19;9;32;0;71;0;0;0;1;0;0;0;0;0;0;458
"110033";"NOVA MAMORE";0;0;0;3;312;4;20;29;36;0;0;2;1;0;2;22;19;28;0;54;0;0;0;13;1;0;1;0;0;0;547
"110034";"ALVORADA D'OESTE";0;0;0;19;206;3;7;8;7;3;0;0;0;0;0;28;9;20;0;27;0;0;0;6;0;0;1;0;1;0;345
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;1;177;2;12;5;4;1;2;0;0;0;0;14;9;5;0;35;0;0;0;4;1;0;0;0;0;0;272
"110040";"ALTO PARAISO";0;0;0;13;118;3;5;16;11;0;0;0;1;0;0;4;7;1;0;18;3;1;0;9;1;0;0;0;0;0;211
"110045";"BURITIS";0;0;0;15;192;7;12;38;32;0;1;2;2;0;2;16;15;7;0;8;2;2;0;14;1;0;0;0;1;1;370
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;3;137;0;3;9;2;0;1;0;0;0;1;3;4;9;0;18;0;0;0;3;0;0;0;0;0;0;193
"110060";"CACAULANDIA";0;0;0;2;28;5;1;1;1;0;0;0;2;0;0;2;3;0;0;6;0;0;0;5;0;0;0;0;0;0;56
"110070";"CAMPO NOVO DE RONDONIA";0;0;0;2;46;2;2;8;8;1;0;2;0;0;0;4;1;2;0;4;3;0;0;4;0;0;0;0;0;0;89
"110080";"CANDEIAS DO JAMARI";0;0;0;1;132;9;7;35;33;0;0;2;4;0;4;12;21;9;0;23;3;0;1;17;4;0;0;0;0;0;317
"110090";"CASTANHEIRAS";0;0;0;3;5;0;0;2;0;0;0;0;0;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16
"110092";"CHUPINGUAIA";0;0;0;7;34;1;0;5;6;0;0;0;4;0;0;16;9;4;0;21;0;0;0;1;1;0;0;0;1;4;114
"110094";"CUJUBIM";0;0;0;32;166;5;3;24;12;0;0;2;3;0;1;8;12;8;0;23;0;0;0;6;0;0;0;0;0;0;305
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;4;28;0;0;2;4;0;0;0;0;0;0;1;1;2;0;12;0;0;0;0;0;0;0;0;0;0;54
"110110";"ITAPUA DO OESTE";0;0;0;4;35;2;5;17;12;0;0;0;0;0;0;3;12;7;0;6;0;0;0;3;1;0;0;0;0;0;107
"110120";"MINISTRO ANDREAZZA";0;0;0;1;44;0;1;1;3;0;1;1;0;0;0;2;3;4;1;6;0;0;0;3;1;0;0;0;0;0;72
"110130";"MIRANTE DA SERRA";0;0;0;1;128;2;3;6;5;0;0;0;0;0;0;5;2;9;0;11;0;0;0;5;0;0;0;0;0;0;177
"110140";"MONTE NEGRO";1;2;0;4;82;1;4;14;13;0;0;2;1;0;1;7;10;3;0;9;2;1;0;6;2;0;0;0;0;0;165
"110143";"NOVA UNIAO";0;0;0;0;46;0;5;0;3;1;0;0;0;0;1;8;1;3;0;9;0;0;0;0;1;0;0;0;0;0;78
"110145";"PARECIS";0;0;0;11;62;2;3;0;1;0;0;0;0;0;0;1;1;2;0;9;0;0;0;0;1;0;0;0;0;0;93
"110146";"PIMENTEIRAS DO OESTE";0;0;0;2;18;1;2;1;3;0;0;0;1;0;0;1;5;0;0;4;1;0;0;0;1;0;0;0;0;0;40
"110147";"PRIMAVERA DE RONDONIA";0;0;0;0;21;1;1;1;0;1;0;0;0;0;1;2;1;3;0;3;0;0;0;4;1;0;0;0;0;0;40
"110148";"SAO FELIPE D'OESTE";0;0;0;3;15;6;0;2;1;0;0;0;0;0;0;6;5;0;0;3;0;0;0;2;1;0;0;0;0;0;44
"110149";"SAO FRANCISCO DO GUAPORE";0;0;0;4;134;4;3;7;11;1;0;1;1;0;0;16;13;12;0;54;0;1;0;5;1;0;1;0;0;0;269
"110150";"SERINGUEIRAS";0;0;0;5;144;3;5;3;7;2;1;2;0;0;0;33;30;48;0;34;1;0;0;5;1;0;2;0;0;0;326
"110155";"TEIXEIROPOLIS";0;0;0;0;17;1;0;0;0;0;0;0;0;0;1;2;2;1;0;2;0;0;0;2;1;0;0;0;0;0;29
"110160";"THEOBROMA";0;0;0;3;35;2;2;3;0;0;0;0;0;0;1;5;5;2;0;9;1;0;0;1;2;0;0;0;0;0;71
"110170";"URUPA";0;0;0;0;118;6;6;4;4;0;0;0;1;0;0;18;8;13;0;27;0;0;0;14;1;0;0;0;2;6;228
"110175";"VALE DO ANARI";0;0;0;0;56;1;2;3;3;0;0;0;4;0;0;4;5;1;0;5;0;1;0;2;0;0;0;0;1;0;88
"110180";"VALE DO PARAISO";0;0;0;0;62;4;1;0;5;1;0;0;0;0;1;3;2;6;0;7;3;0;0;3;1;0;0;0;0;0;99
"120001";"ACRELANDIA";0;0;0;2;86;3;1;6;19;0;1;2;1;0;3;6;7;1;0;13;0;0;0;3;0;0;0;0;0;0;154
"120005";"ASSIS BRASIL";0;0;0;18;106;2;5;5;34;0;1;2;0;0;3;31;4;1;0;20;0;0;0;2;0;0;0;0;0;3;237
"120010";"BRASILEIA";0;0;0;54;192;5;14;11;61;2;1;7;0;1;3;112;13;19;0;90;1;2;0;4;2;0;0;0;0;0;594
"120013";"BUJARI";0;0;0;4;27;1;1;2;9;0;0;0;0;0;0;9;4;4;0;9;0;0;0;0;1;0;0;0;0;0;71
"120017";"CAPIXABA";0;0;0;6;41;2;2;2;12;0;1;1;1;0;1;8;4;6;0;9;0;0;0;1;1;0;0;0;0;0;98
"120020";"CRUZEIRO DO SUL";6;0;0;89;711;21;8;44;147;7;3;8;18;0;16;133;154;16;2;226;5;4;0;24;3;0;0;0;0;0;1645
"120025";"EPITACIOLANDIA";1;0;0;30;104;3;10;11;39;4;0;3;1;0;1;78;5;9;0;36;1;1;0;1;1;0;0;0;0;0;339
"120030";"FEIJO";1;0;0;28;125;2;7;19;118;0;0;1;2;0;5;38;20;7;0;76;0;0;0;3;0;0;0;0;0;0;452
"120032";"JORDAO";0;0;0;3;22;0;0;1;6;0;0;0;1;0;2;5;6;0;0;7;0;0;0;0;0;0;0;0;0;0;53
"120033";"MANCIO LIMA";1;0;0;32;145;2;6;3;36;1;1;1;2;0;3;12;16;6;1;27;0;0;0;2;1;0;0;0;1;0;299
