 Morbidade Hospitalar do SUS - por local de internação - São Paulo
Internações por Município
Período:2022
"Município";"Internações"
"353550 PARAGUACU PAULISTA";2927
"353580 PARANAPANEMA";719
"353600 PARAPUA";469
"353620 PARIQUERA-ACU";9153
"353630 PATROCINIO PAULISTA";849
"353650 PAULINIA";5886
"353660 PAULO DE FARIA";54
"353670 PEDERNEIRAS";1652
"353700 PEDREGULHO";884
"353710 PEDREIRA";1209
"353730 PENAPOLIS";5044
"353740 PEREIRA BARRETO";1291
"353760 PERUIBE";759
"353780 PIEDADE";2263
"353790 PILAR DO SUL";1215
"353800 PINDAMONHANGABA";6636
"353860 PIRACAIA";513
"353870 PIRACICABA";32319
"353880 PIRAJU";2091
"353890 PIRAJUI";1425
"353900 PIRANGI";410
"353930 PIRASSUNUNGA";2304
"353940 PIRATININGA";262
"353950 PITANGUEIRAS";1499
"354000 POMPEIA";472
"354020 PONTAL";1739
"354040 POPULINA";112
"354060 PORTO FELIZ";2597
"354070 PORTO FERREIRA";1960
"354080 POTIRENDABA";500
"354100 PRAIA GRANDE";7437
"354120 PRESIDENTE BERNARDES";838
"354130 PRESIDENTE EPITACIO";2370
"354140 PRESIDENTE PRUDENTE";38574
"354150 PRESIDENTE VENCESLAU";2135
"354160 PROMISSAO";3092
"354190 QUELUZ";184
"354220 RANCHARIA";3215
"354240 REGENTE FEIJO";576
"354260 REGISTRO";8057
"354290 RIBEIRAO BONITO";252
"354300 RIBEIRAO BRANCO";419
"354330 RIBEIRAO PIRES";2226
"354340 RIBEIRAO PRETO";71732
"354380 RINOPOLIS";247
"354390 RIO CLARO";8496
"354400 RIO DAS PEDRAS";895
"354420 RIOLANDIA";73
"354425 ROSANA";3256
"354490 SALES OLIVEIRA";297
"354500 SALESOPOLIS";384
"354520 SALTO";4545
"354530 SALTO DE PIRAPORA";2186
"354540 SALTO GRANDE";482
"354560 SANTA ADELIA";310
"354580 SANTA BARBARA D'OESTE";8543
"354630 SANTA CRUZ DAS PALMEIRAS";1233
"354640 SANTA CRUZ DO RIO PARDO";3961
"354660 SANTA FE DO SUL";2506
"354680 SANTA ISABEL";2126
"354730 SANTANA DE PARNAIBA";3493
"354750 SANTA RITA DO PASSA QUATRO";1343
"354760 SANTA ROSA DE VITERBO";1086
"354770 SANTO ANASTACIO";1607
"354780 SANTO ANDRE";51546
"354790 SANTO ANTONIO DA ALEGRIA";104
"354850 SANTOS";33148
"354860 SAO BENTO DO SAPUCAI";363
"354870 SAO BERNARDO DO CAMPO";36084
"354880 SAO CAETANO DO SUL";11318
"354890 SAO CARLOS";15417
"354910 SAO JOAO DA BOA VISTA";5808
"354940 SAO JOAQUIM DA BARRA";2499
"354970 SAO JOSE DO RIO PARDO";4500
"354980 SAO JOSE DO RIO PRETO";67176
"354990 SAO JOSE DOS CAMPOS";47684
"355000 SAO LUIS DO PARAITINGA";138
"355010 SAO MANUEL";1192
"355020 SAO MIGUEL ARCANJO";1192
"355030 SAO PAULO";638298
"355040 SAO PEDRO";2604
"355060 SAO ROQUE";3400
"355070 SAO SEBASTIAO";5328
"355080 SAO SEBASTIAO DA GRAMA";483
"355090 SAO SIMAO";248
"355100 SAO VICENTE";9462
"355150 SERRANA";4277
"355160 SERRA NEGRA";1191
"355170 SERTAOZINHO";6520
"355200 SILVEIRAS";40
"355210 SOCORRO";2712
"355220 SOROCABA";52120
"355230 SUD MENNUCCI";256
"355240 SUMARE";12207
"355250 SUZANO";4305
"355260 TABAPUA";642
"355270 TABATINGA";743
"355280 TABOAO DA SERRA";19628
"355300 TAGUAI";738
"355330 TAMBAU";1043
"355340 TANABI";1288
"355360 TAPIRATIBA";306
"355370 TAQUARITINGA";4588
"355380 TAQUARITUBA";1974
"355400 TATUI";5313
"355410 TAUBATE";22750
"355430 TEODORO SAMPAIO";1409
"355440 TERRA ROXA";142
"355450 TIETE";2226
"355470 TORRINHA";93
"355500 TUPA";7335
"355510 TUPI PAULISTA";1063
"355540 UBATUBA";4385
"355580 URANIA";188
"355600 URUPES";424
"355620 VALINHOS";3693
"355630 VALPARAISO";595
"355640 VARGEM GRANDE DO SUL";2895
"355650 VARZEA PAULISTA";595
"355670 VINHEDO";3298
"355680 VIRADOURO";392
"355700 VOTORANTIM";4331
"355710 VOTUPORANGA";8683
"355720 CHAVANTES";877
"Total";2476295
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
