Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2021;2;20212110001;110001;ALTA FLORESTA D'OESTE;1;0;0;2;355;21;16;24;14;1;1;2;0;3;2;9;22;6;0;54;2;1;0;16;4;0;0;0;0;0
2021;2;20212110002;110002;ARIQUEMES;2;0;0;34;1401;20;30;121;118;8;1;6;5;1;13;47;79;9;2;125;6;3;1;64;5;0;2;0;1;2
2021;2;20212110003;110003;CABIXI;0;0;0;5;70;3;4;3;3;0;0;0;0;0;1;0;9;2;0;9;1;0;0;2;2;0;0;0;0;0
2021;2;20212110004;110004;CACOAL;0;0;0;39;882;70;31;87;77;7;4;9;9;0;8;80;69;37;0;199;3;3;0;67;12;0;2;0;0;0
2021;2;20212110005;110005;CEREJEIRAS;0;0;1;9;209;9;5;5;10;0;1;0;3;0;1;9;15;2;0;43;1;0;0;1;2;0;0;0;0;1
2021;2;20212110006;110006;COLORADO DO OESTE;0;0;0;8;159;8;2;6;9;0;0;1;2;0;1;8;14;4;2;22;1;0;0;1;2;0;0;0;0;1
2021;2;20212110007;110007;CORUMBIARA;0;0;0;1;34;2;1;2;1;1;0;0;0;0;1;2;7;1;0;9;0;0;0;0;0;0;0;0;0;0
2021;2;20212110008;110008;COSTA MARQUES;0;0;0;0;111;2;1;10;7;0;0;0;1;0;3;1;7;1;0;27;0;0;0;2;1;0;0;0;0;0
2021;2;20212110009;110009;ESPIGAO D'OESTE;0;0;0;1;247;19;7;28;13;0;1;0;1;0;1;7;12;1;0;25;1;0;0;14;2;0;0;0;0;0
2021;2;20212110010;110010;GUAJARA-MIRIM;0;0;0;18;576;13;10;46;133;2;0;4;1;1;3;45;49;13;1;94;1;0;1;23;3;0;2;0;1;0
2021;2;20212110011;110011;JARU;0;0;0;63;514;27;11;31;65;20;0;1;4;0;5;16;27;23;1;121;1;0;0;22;6;0;0;0;0;1
2021;2;20212110012;110012;JI-PARANA;0;0;0;28;1437;55;104;44;230;10;0;14;7;2;9;143;120;101;0;369;3;1;3;33;16;0;3;0;2;17
2021;2;20212110013;110013;MACHADINHO D'OESTE;1;0;0;2;305;7;29;47;33;1;0;6;2;0;2;8;26;6;0;45;2;0;0;12;5;0;0;0;1;4
2021;2;20212110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;4;149;8;2;7;3;0;0;1;1;0;0;5;10;26;0;46;1;0;0;6;2;0;0;0;0;1
2021;2;20212110015;110015;OURO PRETO DO OESTE;0;0;0;11;407;19;10;24;19;2;0;2;1;0;1;64;19;35;0;87;0;0;0;9;3;0;0;0;0;0
2021;2;20212110018;110018;PIMENTA BUENO;0;0;0;6;446;17;27;94;24;1;0;0;0;0;1;19;27;9;0;67;2;0;0;18;2;0;0;0;1;0
2021;2;20212110020;110020;PORTO VELHO;7;0;0;31;3903;186;179;760;792;27;2;84;36;11;95;328;531;180;8;730;30;7;1;347;72;0;13;0;3;34
2021;2;20212110025;110025;PRESIDENTE MEDICI;1;0;0;1;240;9;5;14;11;2;0;1;1;0;1;8;9;9;0;43;0;0;0;8;5;0;0;0;0;0
2021;2;20212110026;110026;RIO CRESPO;1;0;0;14;16;0;1;2;4;0;0;0;0;0;0;0;4;0;0;4;0;0;0;1;0;0;0;0;0;0
2021;2;20212110028;110028;ROLIM DE MOURA;1;0;0;75;628;17;11;49;22;5;0;3;5;0;9;27;38;12;1;163;4;1;0;39;8;0;1;0;0;4
2021;2;20212110029;110029;SANTA LUZIA D'OESTE;0;0;0;1;114;16;3;8;0;2;0;0;1;0;1;1;7;0;0;15;0;0;0;1;1;0;0;0;0;0
2021;2;20212110030;110030;VILHENA;0;0;0;256;997;27;35;64;127;1;2;6;10;1;11;72;159;27;1;280;7;5;0;29;8;0;1;0;1;1
2021;2;20212110032;110032;SAO MIGUEL DO GUAPORE;0;0;0;20;292;2;7;14;12;2;0;0;1;1;2;16;7;16;2;79;2;0;0;4;3;0;0;0;0;0
2021;2;20212110033;110033;NOVA MAMORE;0;0;0;1;248;9;7;30;32;2;0;3;2;0;1;8;16;3;0;26;0;0;0;9;1;0;1;0;0;0
2021;2;20212110034;110034;ALVORADA D'OESTE;0;0;0;33;134;9;4;10;8;1;0;5;0;0;0;3;5;2;0;29;0;1;0;9;2;0;0;0;0;0
2021;2;20212110037;110037;ALTO ALEGRE DOS PARECIS;0;0;0;4;156;5;11;13;4;2;2;1;1;0;2;5;5;0;0;19;0;0;1;5;2;0;0;0;0;0
