Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2021;3;20213110001;110001;ALTA FLORESTA D'OESTE;0;0;0;8;308;13;15;22;17;6;1;3;3;2;5;17;24;5;1;45;2;0;2;19;5;0;0;0;0;0
2021;3;20213110002;110002;ARIQUEMES;5;0;1;96;1032;22;28;114;102;6;0;14;6;2;16;50;99;19;0;143;5;4;0;53;9;0;1;0;2;7
2021;3;20213110003;110003;CABIXI;0;0;0;1;64;1;1;2;5;0;0;0;1;0;1;5;7;1;0;6;1;0;0;2;0;0;0;0;0;0
2021;3;20213110004;110004;CACOAL;1;0;2;48;691;40;43;78;58;2;6;3;14;0;14;125;77;54;5;191;8;0;4;65;22;0;2;0;0;1
2021;3;20213110005;110005;CEREJEIRAS;1;0;0;4;149;11;7;6;17;1;0;0;1;0;1;23;17;9;0;43;3;0;0;9;3;0;0;0;0;1
2021;3;20213110006;110006;COLORADO DO OESTE;0;0;0;3;149;6;4;9;19;1;3;1;0;1;2;11;12;5;0;10;2;0;0;4;3;0;0;0;0;0
2021;3;20213110007;110007;CORUMBIARA;0;0;0;2;32;1;2;2;8;1;0;0;0;0;1;3;11;2;0;12;0;0;0;0;2;0;0;0;0;0
2021;3;20213110008;110008;COSTA MARQUES;0;0;0;2;79;3;0;5;4;1;0;0;0;0;1;3;10;1;0;15;0;0;0;4;0;0;1;0;0;0
2021;3;20213110009;110009;ESPIGAO D'OESTE;0;0;0;3;350;19;8;47;10;1;2;2;3;0;3;18;19;7;2;30;0;1;0;12;2;0;1;0;0;0
2021;3;20213110010;110010;GUAJARA-MIRIM;0;0;0;15;498;15;14;63;115;2;0;5;5;3;8;32;31;19;0;106;1;0;0;22;5;0;0;0;0;0
2021;3;20213110011;110011;JARU;2;0;0;105;341;26;9;35;55;13;0;5;5;0;6;62;25;36;5;128;1;0;0;29;9;0;0;0;0;3
2021;3;20213110012;110012;JI-PARANA;3;1;1;43;778;42;93;58;128;4;3;11;20;0;17;219;130;114;1;316;6;1;1;39;18;0;1;0;1;13
2021;3;20213110013;110013;MACHADINHO D'OESTE;0;0;0;2;180;12;23;62;34;1;0;2;6;0;3;10;46;15;0;48;1;1;0;27;5;0;0;0;0;7
2021;3;20213110014;110014;NOVA BRASILANDIA D'OESTE;1;0;0;3;156;5;2;6;4;0;0;0;1;0;2;19;11;27;0;57;0;0;0;4;1;0;2;0;1;4
2021;3;20213110015;110015;OURO PRETO DO OESTE;0;0;0;29;377;21;17;15;27;1;0;0;3;1;1;59;18;33;1;92;1;0;0;5;3;0;2;0;0;0
2021;3;20213110018;110018;PIMENTA BUENO;0;0;0;7;479;23;33;118;28;4;1;0;3;0;3;18;33;8;0;76;1;2;1;16;9;0;0;0;0;0
2021;3;20213110020;110020;PORTO VELHO;8;0;1;58;3953;229;211;937;745;32;2;50;42;8;99;360;708;431;13;885;35;5;1;504;61;1;5;0;8;23
