Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2019;2;20192110001;110001;ALTA FLORESTA D'OESTE;1;0;0;10;569;8;37;27;28;0;0;1;1;3;1;24;22;11;0;52;2;0;0;20;0;0;0;0;1;0
2019;2;20192110002;110002;ARIQUEMES;0;0;0;166;791;20;14;96;198;13;1;18;5;22;17;88;109;58;2;157;10;6;1;75;7;0;2;0;2;4
2019;2;20192110003;110003;CABIXI;0;0;0;13;104;4;1;1;5;0;0;1;0;0;0;0;7;0;0;8;2;0;0;2;2;0;0;0;0;0
2019;2;20192110004;110004;CACOAL;1;0;1;60;880;101;31;78;41;5;5;16;19;11;18;73;82;49;5;211;10;2;2;90;22;0;5;0;0;0
2019;2;20192110005;110005;CEREJEIRAS;0;0;0;18;332;11;11;2;9;1;1;0;1;1;3;14;10;5;1;35;5;1;1;3;2;0;0;0;0;0
2019;2;20192110006;110006;COLORADO DO OESTE;0;0;0;23;227;13;5;9;11;2;0;2;2;1;3;13;12;6;0;21;2;0;0;9;4;0;0;0;0;0
2019;2;20192110007;110007;CORUMBIARA;0;0;0;23;34;0;2;3;5;0;1;0;0;0;0;8;8;1;0;13;1;0;0;2;2;0;0;0;0;0
2019;2;20192110008;110008;COSTA MARQUES;0;0;0;1;107;2;1;12;11;2;0;0;0;2;0;10;4;2;0;21;0;1;0;6;0;0;0;0;0;0
2019;2;20192110009;110009;ESPIGAO D'OESTE;0;0;0;7;471;20;9;53;16;2;0;2;9;4;2;26;24;25;2;44;0;0;1;13;4;0;1;0;0;0
2019;2;20192110010;110010;GUAJARA-MIRIM;0;0;0;26;452;4;23;45;136;5;1;5;4;2;4;26;45;13;3;94;1;0;0;28;6;0;2;0;2;4
2019;2;20192110011;110011;JARU;0;0;0;109;538;16;13;36;73;44;1;5;8;5;7;59;27;48;1;102;1;3;0;20;5;0;1;0;1;0
2019;2;20192110012;110012;JI-PARANA;2;0;0;55;734;51;87;88;224;4;4;8;5;13;23;192;112;187;6;312;9;4;0;43;13;0;3;0;1;2
2019;2;20192110013;110013;MACHADINHO D'OESTE;1;0;0;14;398;9;80;54;45;2;0;3;1;1;0;15;45;14;2;67;3;1;0;25;4;0;0;0;2;0
2019;2;20192110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;7;94;5;9;14;8;0;0;5;4;2;1;11;14;12;1;58;1;0;0;9;4;0;1;0;0;3
2019;2;20192110015;110015;OURO PRETO DO OESTE;0;0;0;44;455;13;20;25;53;1;1;1;1;1;2;53;31;25;0;67;7;0;0;13;2;0;0;1;0;0
2019;2;20192110018;110018;PIMENTA BUENO;0;0;0;8;523;34;23;82;24;1;0;3;4;1;5;18;36;16;0;107;2;2;1;26;2;0;0;0;0;0
2019;2;20192110020;110020;PORTO VELHO;8;0;2;162;3111;121;92;583;1042;67;28;79;70;234;58;439;625;447;38;976;30;23;3;409;82;0;12;0;17;8
2019;2;20192110025;110025;PRESIDENTE MEDICI;0;0;0;12;175;12;14;18;29;1;2;2;3;5;0;21;25;20;3;46;0;0;0;7;1;0;0;0;0;0
2019;2;20192110026;110026;RIO CRESPO;0;0;0;38;17;0;0;1;2;1;0;0;0;0;0;2;2;1;0;3;0;0;0;2;1;0;0;0;0;0
2019;2;20192110028;110028;ROLIM DE MOURA;2;0;0;183;658;20;25;42;27;3;1;6;4;3;3;50;36;22;2;213;5;1;2;35;2;0;1;0;1;3
2019;2;20192110029;110029;SANTA LUZIA D'OESTE;0;0;0;3;197;0;1;10;4;0;0;1;3;0;0;1;5;3;0;27;0;0;0;3;2;0;0;0;0;0
2019;2;20192110030;110030;VILHENA;0;0;0;395;1047;24;56;24;119;4;5;12;18;4;11;103;200;70;2;310;8;3;0;34;8;0;4;0;1;2
2019;2;20192110032;110032;SAO MIGUEL DO GUAPORE;0;0;0;8;182;5;7;11;10;3;1;2;4;4;4;26;12;22;2;76;0;2;0;6;3;0;0;0;2;3
