 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"251365 JOCA CLAUDINO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251370 SANTA RITA";-;-;2;163;3;1;-;-;-;-;1;-;-;2;1;-;-;-;-;1;-;6;1;-;-;181
"251380 SANTA TERESINHA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"251385 SANTO ANDRE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251390 SAO BENTO";-;-;1;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;29
"251392 SAO BENTINHO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251394 SAO DOMINGOS DO CARIRI";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251396 SAO DOMINGOS";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251398 SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"251400 SAO JOAO DO CARIRI";-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"251410 SAO JOAO DO TIGRE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251420 SAO JOSE DA LAGOA TAPADA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251430 SAO JOSE DE CAIANA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251440 SAO JOSE DE ESPINHARAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251445 SAO JOSE DOS RAMOS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251450 SAO JOSE DE PIRANHAS";1;-;-;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"251460 SAO JOSE DO BONFIM";-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"251465 SAO JOSE DO BREJO DO CRUZ";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251470 SAO JOSE DO SABUGI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"251480 SAO JOSE DOS CORDEIROS";-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"251490 SAO MAMEDE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251500 SAO MIGUEL DE TAIPU";-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;-;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"251520 SAO SEBASTIAO DO UMBUZEIRO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251530 SAPE";-;-;-;50;5;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;58
"251540 SAO VICENTE DO SERIDO";-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251550 SERRA BRANCA";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"251570 SERRA GRANDE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251580 SERRA REDONDA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251590 SERRARIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251597 SOBRADO";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"251600 SOLANEA";-;-;-;14;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;18
"251610 SOLEDADE";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"251615 SOSSEGO";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251620 SOUSA";-;-;-;44;2;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;49
"251630 SUME";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"251640 TACIMA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251650 TAPEROA";-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"251660 TAVARES";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251670 TEIXEIRA";-;-;-;11;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;15
"251675 TENORIO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251680 TRIUNFO";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"251690 UIRAUNA";-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;15
"251700 UMBUZEIRO";-;-;-;4;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"251720 VIEIROPOLIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260005 ABREU E LIMA";-;-;-;81;3;2;1;-;-;-;-;1;1;-;2;-;-;-;1;-;-;4;-;-;-;96
"260010 AFOGADOS DA INGAZEIRA";-;-;-;35;4;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;41
"260020 AFRANIO";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"260030 AGRESTINA";-;-;-;29;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;32
"260040 AGUA PRETA";-;-;1;27;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;33
"260050 AGUAS BELAS";-;-;-;18;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;22
"260060 ALAGOINHA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;9
"260070 ALIANCA";-;-;2;34;2;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;3;-;-;-;45
"260080 ALTINHO";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"260090 AMARAJI";-;-;-;11;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;13
"260100 ANGELIM";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"260105 ARACOIABA";-;-;-;17;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;20
"260110 ARARIPINA";-;-;-;55;1;2;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;63
"260120 ARCOVERDE";-;-;-;64;3;-;1;-;-;-;-;-;-;-;2;1;-;-;1;-;-;2;-;-;-;74
"260130 BARRA DE GUABIRABA";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"260140 BARREIROS";-;-;-;31;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;34
"260150 BELEM DE MARIA";-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260160 BELEM DE SAO FRANCISCO";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"260170 BELO JARDIM";-;-;-;48;1;1;-;-;-;-;-;1;1;-;2;-;-;-;1;-;-;1;-;-;-;56
"260180 BETANIA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"260190 BEZERROS";-;-;-;61;2;3;2;-;-;-;-;-;2;1;-;-;-;-;1;-;-;2;-;-;-;74
"260200 BODOCO";-;-;-;14;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"260210 BOM CONSELHO";-;-;-;25;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;29
"260220 BOM JARDIM";-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;28
"260230 BONITO";-;-;-;24;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"260240 BREJAO";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260250 BREJINHO";-;-;-;6;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;8
"260260 BREJO DA MADRE DE DEUS";-;-;-;23;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"260270 BUENOS AIRES";-;-;-;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"260280 BUIQUE";-;-;-;21;3;2;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;1;-;-;-;31
"260290 CABO DE SANTO AGOSTINHO";-;-;-;144;7;-;3;-;-;-;-;-;3;2;2;-;-;-;1;1;-;10;-;-;-;173
"260300 CABROBO";-;-;-;7;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"260310 CACHOEIRINHA";-;-;-;15;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;20
"260320 CAETES";-;-;-;18;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;22
"260330 CALCADO";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260340 CALUMBI";-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"260345 CAMARAGIBE";-;-;-;115;13;4;-;-;-;-;1;-;2;-;1;-;-;1;1;3;-;6;-;-;1;148
"260350 CAMOCIM DE SAO FELIX";-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;12
"260360 CAMUTANGA";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"260370 CANHOTINHO";-;-;-;20;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;23
"260380 CAPOEIRAS";-;-;1;13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;16
"260390 CARNAIBA";-;-;-;13;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;16
"260392 CARNAUBEIRA DA PENHA";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260400 CARPINA";-;-;1;52;3;2;-;-;-;-;-;1;1;1;1;-;-;-;1;-;-;4;-;-;-;67
"260410 CARUARU";-;1;-;248;15;19;1;-;-;-;2;2;4;4;-;-;-;-;2;2;-;9;-;-;-;309
"260415 CASINHAS";-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"260420 CATENDE";-;-;-;35;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;39
"260430 CEDRO";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260440 CHA DE ALEGRIA";-;-;-;12;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"260450 CHA GRANDE";-;-;1;18;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;21
"260460 CONDADO";-;-;-;12;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;17
"260470 CORRENTES";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"260480 CORTES";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260490 CUMARU";-;-;-;12;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;15
"260500 CUPIRA";-;-;-;23;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"260510 CUSTODIA";-;-;-;12;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;16
"260515 DORMENTES";-;-;-;6;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"260520 ESCADA";-;-;-;26;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;31
"260530 EXU";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"260540 FEIRA NOVA";-;-;3;22;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;28
"260550 FERREIROS";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260560 FLORES";-;-;-;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"260570 FLORESTA";-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"260580 FREI MIGUELINHO";-;-;-;11;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"260590 GAMELEIRA";-;-;-;15;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;19
"260600 GARANHUNS";-;-;1;114;5;1;1;-;-;-;3;-;1;-;1;-;-;1;2;1;-;3;-;-;1;135
"260610 GLORIA DO GOITA";-;-;-;20;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;22
"260620 GOIANA";-;-;1;56;3;-;-;-;-;-;1;1;2;-;-;-;-;1;3;-;-;3;-;-;-;71
"260630 GRANITO";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"260640 GRAVATA";-;-;-;64;1;1;-;-;-;-;2;-;1;1;-;-;-;-;1;-;-;3;-;-;-;74
"260650 IATI";-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260660 IBIMIRIM";-;-;-;10;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"260670 IBIRAJUBA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"260680 IGARASSU";-;-;-;72;6;-;1;-;-;-;-;1;-;1;2;-;-;-;-;-;-;6;-;-;-;89
"260690 IGUARACY";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"260700 INAJA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"260710 INGAZEIRA";-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260720 IPOJUCA";-;-;-;50;2;1;1;-;-;-;2;1;-;-;2;-;-;-;1;-;-;3;1;-;-;64
"260730 IPUBI";-;-;-;14;1;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;-;-;-;21
"260740 ITACURUBA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260750 ITAIBA";-;-;-;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"260760 ILHA DE ITAMARACA";-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;18
"260765 ITAMBE";-;-;-;33;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;37
"260770 ITAPETIM";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"260775 ITAPISSUMA";-;-;-;18;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;20
"260780 ITAQUITINGA";-;-;-;10;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;14
"260790 JABOATAO DOS GUARARAPES";-;-;1;418;40;6;10;1;1;-;5;3;9;4;4;1;-;-;6;3;-;23;1;-;1;537
"260795 JAQUEIRA";-;-;1;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;12
"260800 JATAUBA";-;-;-;15;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;19
"260805 JATOBA";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260810 JOAO ALFREDO";-;-;1;27;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;31
"260820 JOAQUIM NABUCO";-;-;-;20;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"260825 JUCATI";-;-;1;10;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"260830 JUPI";-;-;-;16;1;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;22
"260840 JUREMA";-;-;-;11;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"260845 LAGOA DO CARRO";-;-;-;7;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"260850 LAGOA DE ITAENGA";-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;14
"260860 LAGOA DO OURO";-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"260870 LAGOA DOS GATOS";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"260875 LAGOA GRANDE";-;-;-;7;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;11
"260880 LAJEDO";-;-;-;31;1;2;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;2;-;-;-;40
"260890 LIMOEIRO";-;-;-;45;1;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;2;-;-;-;51
"260900 MACAPARANA";-;-;-;12;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;1;-;17
"260910 MACHADOS";-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260915 MANARI";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"260920 MARAIAL";-;-;-;8;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"260930 MIRANDIBA";-;-;1;10;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;13
"260940 MORENO";-;-;-;38;1;1;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;3;-;-;-;46
"260950 NAZARE DA MATA";-;-;3;35;1;2;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;-;-;46
"260960 OLINDA";-;-;1;318;26;7;2;-;1;-;4;4;5;3;4;2;-;-;1;2;-;13;1;-;-;394
"260970 OROBO";-;-;-;22;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;25
"260980 OROCO";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"260990 OURICURI";-;-;1;35;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;38
"261000 PALMARES";-;-;-;76;2;4;2;-;-;-;1;-;1;2;-;-;-;-;2;-;-;2;1;-;-;93
"261010 PALMEIRINA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"261020 PANELAS";-;-;-;17;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;19
"261030 PARANATAMA";-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"261040 PARNAMIRIM";-;-;-;5;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;11
"261050 PASSIRA";-;-;-;16;3;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;21
"261060 PAUDALHO";-;-;-;40;3;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;-;47
"261070 PAULISTA";-;-;1;220;16;1;5;-;-;-;2;2;5;1;3;-;-;-;9;2;-;13;1;-;-;281
"261080 PEDRA";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"261090 PESQUEIRA";-;-;-;46;1;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4;-;-;-;55
"261100 PETROLANDIA";-;-;1;16;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"261110 PETROLINA";-;-;12;115;22;2;1;-;-;-;8;1;-;3;3;-;-;1;1;-;-;11;-;-;-;180
"261120 POCAO";-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"261130 POMBOS";-;-;-;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"261140 PRIMAVERA";-;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"261150 QUIPAPA";-;-;-;11;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;13
"261153 QUIXABA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"261160 RECIFE";-;1;11;1123;79;21;13;-;-;-;9;20;21;18;14;2;-;-;22;6;-;79;1;1;2;1443
"261170 RIACHO DAS ALMAS";-;-;-;11;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;14
"261180 RIBEIRAO";-;-;-;35;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;41
"261190 RIO FORMOSO";-;-;-;24;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;27
"261200 SAIRE";-;-;-;8;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"261210 SALGADINHO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261220 SALGUEIRO";-;-;-;54;2;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;60
"261230 SALOA";-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"261240 SANHARO";-;-;-;19;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;23
"261245 SANTA CRUZ";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"261250 SANTA CRUZ DO CAPIBARIBE";-;-;-;52;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;58
"261255 SANTA FILOMENA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"261260 SANTA MARIA DA BOA VISTA";-;-;-;6;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"261270 SANTA MARIA DO CAMBUCA";-;-;1;15;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;19
"261280 SANTA TEREZINHA";-;-;-;9;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;12
"261290 SAO BENEDITO DO SUL";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"261300 SAO BENTO DO UNA";-;-;-;30;1;-;-;-;-;-;-;-;1;1;2;-;-;1;1;-;-;2;1;-;-;40
"261310 SAO CAITANO";-;-;-;25;2;1;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;32
"261320 SAO JOAO";-;-;1;14;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"261330 SAO JOAQUIM DO MONTE";-;-;-;13;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;18
"261340 SAO JOSE DA COROA GRANDE";-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;16
"261350 SAO JOSE DO BELMONTE";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"261360 SAO JOSE DO EGITO";-;-;-;18;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"261370 SAO LOURENCO DA MATA";-;-;-;60;10;2;-;-;-;-;2;2;1;1;1;1;-;-;-;1;-;5;-;-;-;86
"261380 SAO VICENTE FERRER";-;-;-;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;19
"261390 SERRA TALHADA";-;-;4;92;1;1;-;-;-;-;-;1;1;1;1;-;-;-;1;-;-;4;-;1;-;108
"261400 SERRITA";-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"261410 SERTANIA";-;-;-;27;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;31
