 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Abr-Jun/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"251200 POCINHOS";-;-;-;2;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"251203 POCO DANTAS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251207 POCO DE JOSE DE MOURA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251210 POMBAL";-;-;-;24;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;28
"251230 PRINCESA ISABEL";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251240 PUXINANA";-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"251250 QUEIMADAS";-;-;-;25;4;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;-;33
"251260 QUIXABA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251270 REMIGIO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"251272 PEDRO REGIS";-;-;1;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"251274 RIACHAO";-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"251275 RIACHAO DO BACAMARTE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251276 RIACHAO DO POCO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251278 RIACHO DE SANTO ANTONIO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251280 RIACHO DOS CAVALOS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251290 RIO TINTO";-;-;1;22;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;27
"251300 SALGADINHO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251310 SALGADO DE SAO FELIX";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251315 SANTA CECILIA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251320 SANTA CRUZ";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251330 SANTA HELENA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"251340 SANTA LUZIA";-;-;-;6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"251360 SANTANA DOS GARROTES";-;-;-;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"251370 SANTA RITA";-;-;1;84;11;6;-;-;-;-;1;-;-;1;1;4;-;-;-;-;-;-;4;-;-;-;113
"251380 SANTA TERESINHA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251385 SANTO ANDRE";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251390 SAO BENTO";-;-;1;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"251392 SAO BENTINHO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251394 SAO DOMINGOS DO CARIRI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251398 SAO FRANCISCO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251400 SAO JOAO DO CARIRI";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"251410 SAO JOAO DO TIGRE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251420 SAO JOSE DA LAGOA TAPADA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251440 SAO JOSE DE ESPINHARAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251445 SAO JOSE DOS RAMOS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251450 SAO JOSE DE PIRANHAS";-;-;-;7;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"251460 SAO JOSE DO BONFIM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251465 SAO JOSE DO BREJO DO CRUZ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251470 SAO JOSE DO SABUGI";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251480 SAO JOSE DOS CORDEIROS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251490 SAO MAMEDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"251500 SAO MIGUEL DE TAIPU";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";-;-;-;9;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"251530 SAPE";-;-;-;32;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"251550 SERRA BRANCA";-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"251560 SERRA DA RAIZ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"251570 SERRA GRANDE";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251580 SERRA REDONDA";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"251590 SERRARIA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"251593 SERTAOZINHO";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251597 SOBRADO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"251600 SOLANEA";-;-;1;10;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;13
"251610 SOLEDADE";-;-;-;4;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"251615 SOSSEGO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251620 SOUSA";-;-;-;19;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;23
"251630 SUME";-;-;1;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"251640 TACIMA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251650 TAPEROA";-;-;2;7;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"251660 TAVARES";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"251670 TEIXEIRA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"251680 TRIUNFO";-;-;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
"251690 UIRAUNA";-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"251700 UMBUZEIRO";-;-;-;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"251710 VARZEA";-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251720 VIEIROPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251740 ZABELE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260005 ABREU E LIMA";-;-;-;73;7;1;1;-;-;-;-;-;-;-;4;4;-;-;-;1;-;-;6;-;-;-;97
"260010 AFOGADOS DA INGAZEIRA";-;-;-;13;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;17
"260020 AFRANIO";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"260030 AGRESTINA";-;-;-;29;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;34
"260040 AGUA PRETA";-;-;-;48;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;52
"260050 AGUAS BELAS";-;-;-;24;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;30
"260060 ALAGOINHA";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11
"260070 ALIANCA";-;-;-;23;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;1;-;-;2;-;-;1;32
"260080 ALTINHO";-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"260090 AMARAJI";-;-;1;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;23
"260100 ANGELIM";-;-;1;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260105 ARACOIABA";-;-;-;14;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"260110 ARARIPINA";-;-;1;17;2;1;3;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;27
"260120 ARCOVERDE";-;-;-;55;3;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;-;62
"260130 BARRA DE GUABIRABA";-;-;-;8;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;10
"260140 BARREIROS";-;-;1;58;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;63
"260150 BELEM DE MARIA";-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"260160 BELEM DE SAO FRANCISCO";-;-;-;8;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"260170 BELO JARDIM";-;-;-;37;1;3;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;-;45
"260180 BETANIA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"260190 BEZERROS";-;-;-;42;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;46
"260200 BODOCO";-;-;-;8;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;10
"260210 BOM CONSELHO";-;-;1;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;18
"260220 BOM JARDIM";-;-;1;20;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;25
"260230 BONITO";-;-;-;24;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;2;-;-;-;31
"260240 BREJAO";-;-;-;3;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;6
"260250 BREJINHO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260260 BREJO DA MADRE DE DEUS";-;-;-;20;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;25
"260270 BUENOS AIRES";-;-;-;7;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;11
"260280 BUIQUE";-;-;-;17;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;21
"260290 CABO DE SANTO AGOSTINHO";-;-;1;215;13;6;6;-;-;-;1;1;-;1;-;3;1;-;-;1;-;-;4;-;-;2;255
"260300 CABROBO";-;-;1;5;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;11
"260310 CACHOEIRINHA";-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;15
"260320 CAETES";-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;17
"260330 CALCADO";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"260340 CALUMBI";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260345 CAMARAGIBE";-;-;-;142;10;3;-;-;-;-;1;-;-;3;2;-;1;-;-;2;2;-;5;1;-;1;173
"260350 CAMOCIM DE SAO FELIX";-;-;-;14;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"260360 CAMUTANGA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"260370 CANHOTINHO";-;-;-;13;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"260380 CAPOEIRAS";-;-;2;7;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;11
"260390 CARNAIBA";-;-;-;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;13
"260392 CARNAUBEIRA DA PENHA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;8
"260400 CARPINA";-;-;-;54;2;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;5;-;-;-;64
"260410 CARUARU";-;-;2;195;18;13;-;1;-;-;3;-;-;5;3;-;1;-;1;2;2;-;10;-;-;-;256
"260415 CASINHAS";-;-;-;4;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;7
"260420 CATENDE";-;-;-;27;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;31
"260430 CEDRO";-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"260440 CHA DE ALEGRIA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"260450 CHA GRANDE";-;-;1;14;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"260460 CONDADO";-;-;-;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;21
"260470 CORRENTES";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"260480 CORTES";-;-;1;15;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;19
"260490 CUMARU";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260500 CUPIRA";-;-;-;13;-;2;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;18
"260510 CUSTODIA";-;-;-;11;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;13
"260515 DORMENTES";-;-;-;3;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"260520 ESCADA";-;-;-;49;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
"260530 EXU";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260540 FEIRA NOVA";-;-;-;23;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;27
"260550 FERREIROS";-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260560 FLORES";-;-;-;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;12
"260570 FLORESTA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260580 FREI MIGUELINHO";-;-;2;18;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;22
"260590 GAMELEIRA";-;-;-;23;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;25
"260600 GARANHUNS";-;-;2;61;2;3;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;73
"260610 GLORIA DO GOITA";-;-;-;23;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;1;-;-;1;-;-;-;29
"260620 GOIANA";-;-;-;60;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;67
"260630 GRANITO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"260640 GRAVATA";-;-;-;52;4;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3;-;-;-;62
"260650 IATI";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"260660 IBIMIRIM";-;-;-;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;8
"260670 IBIRAJUBA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"260680 IGARASSU";-;-;-;89;5;1;-;-;-;-;-;-;-;2;-;2;-;-;-;2;-;-;6;-;-;-;107
"260690 IGUARACY";-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"260700 INAJA";-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260710 INGAZEIRA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260720 IPOJUCA";-;-;-;71;6;-;1;-;-;-;1;-;-;1;3;1;-;-;-;1;-;-;2;-;-;-;87
"260730 IPUBI";-;-;-;14;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"260740 ITACURUBA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260750 ITAIBA";-;-;-;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;13
"260760 ILHA DE ITAMARACA";-;-;-;10;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;14
"260765 ITAMBE";-;-;1;21;1;1;1;-;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;29
"260770 ITAPETIM";-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;10
"260775 ITAPISSUMA";-;-;-;24;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;27
"260780 ITAQUITINGA";-;-;-;13;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;17
"260790 JABOATAO DOS GUARARAPES";-;-;4;585;30;6;2;-;-;-;7;2;-;7;5;7;-;-;-;5;5;-;22;-;-;2;689
"260795 JAQUEIRA";-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"260800 JATAUBA";-;-;-;11;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;16
"260805 JATOBA";-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"260810 JOAO ALFREDO";-;-;1;28;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;32
"260820 JOAQUIM NABUCO";-;-;-;17;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;21
"260825 JUCATI";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260830 JUPI";-;-;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;9
"260840 JUREMA";-;-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260845 LAGOA DO CARRO";-;-;-;9;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"260850 LAGOA DE ITAENGA";-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"260860 LAGOA DO OURO";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"260870 LAGOA DOS GATOS";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"260875 LAGOA GRANDE";-;-;-;6;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260880 LAJEDO";-;-;3;20;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;29
"260890 LIMOEIRO";-;-;-;47;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;52
"260900 MACAPARANA";-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"260910 MACHADOS";-;-;-;5;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260915 MANARI";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"260920 MARAIAL";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260930 MIRANDIBA";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"260940 MORENO";-;-;-;40;1;-;1;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;4;-;-;-;50
"260950 NAZARE DA MATA";-;-;1;29;2;1;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;4;-;-;-;41
"260960 OLINDA";-;-;4;346;15;7;1;-;-;-;3;-;-;6;5;3;-;-;-;3;2;-;14;2;1;2;414
"260970 OROBO";-;-;1;7;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"260980 OROCO";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"260990 OURICURI";-;-;-;18;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"261000 PALMARES";-;-;-;60;1;1;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;4;-;-;-;70
"261010 PALMEIRINA";-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"261020 PANELAS";-;-;-;12;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"261030 PARANATAMA";1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"261040 PARNAMIRIM";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261050 PASSIRA";-;-;3;24;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;30
"261060 PAUDALHO";-;-;-;37;1;2;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;2;-;-;-;46
"261070 PAULISTA";-;-;-;249;18;2;2;-;-;-;2;4;-;6;7;3;-;-;-;-;4;-;12;2;-;-;311
"261080 PEDRA";-;-;-;9;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"261090 PESQUEIRA";-;-;-;35;4;1;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;4;-;-;1;49
"261100 PETROLANDIA";-;-;1;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;13
"261110 PETROLINA";-;-;4;61;24;7;1;-;-;-;6;1;-;4;8;4;-;-;1;1;-;-;3;-;1;-;126
"261120 POCAO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;3
"261130 POMBOS";-;-;-;18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;20
"261140 PRIMAVERA";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"261150 QUIPAPA";-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"261153 QUIXABA";-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"261160 RECIFE";-;-;13;1380;94;24;7;-;-;-;7;10;-;19;14;11;1;-;1;14;4;-;62;1;-;6;1668
"261170 RIACHO DAS ALMAS";-;-;-;12;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;16
"261180 RIBEIRAO";-;-;-;38;2;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;45
