Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2020;2;20202110001;110001;ALTA FLORESTA D'OESTE;0;0;0;2;203;13;23;20;21;0;0;0;1;0;2;6;23;5;0;39;1;2;0;16;4;0;0;0;1;1
2020;2;20202110002;110002;ARIQUEMES;0;0;0;25;656;22;33;72;119;6;0;15;6;4;9;23;48;10;1;151;9;7;0;49;6;0;3;0;2;0
2020;2;20202110003;110003;CABIXI;0;0;0;9;89;3;5;2;5;0;0;3;0;0;0;1;8;0;0;11;0;0;0;2;0;0;0;0;0;0
2020;2;20202110004;110004;CACOAL;1;0;0;23;455;64;40;53;61;4;0;10;7;3;11;27;74;19;1;200;5;4;0;77;8;0;1;0;0;0
2020;2;20202110005;110005;CEREJEIRAS;0;0;0;21;143;2;6;4;10;0;0;0;0;0;0;12;11;3;0;47;2;0;0;4;0;0;0;0;0;0
2020;2;20202110006;110006;COLORADO DO OESTE;0;0;0;20;99;10;1;4;11;0;0;0;1;0;1;3;21;2;0;26;1;0;0;3;2;0;0;0;0;0
2020;2;20202110007;110007;CORUMBIARA;0;0;0;9;19;0;0;1;5;0;0;1;0;0;1;1;11;1;0;10;0;1;0;2;2;0;0;0;1;2
2020;2;20202110008;110008;COSTA MARQUES;0;0;0;5;70;0;3;7;12;0;0;1;0;0;0;6;2;3;0;31;3;0;0;5;0;0;0;0;0;0
2020;2;20202110009;110009;ESPIGAO D'OESTE;1;0;0;4;232;18;8;42;23;4;0;3;3;1;3;15;20;9;0;41;1;0;0;11;1;0;0;0;0;0
2020;2;20202110010;110010;GUAJARA-MIRIM;3;0;0;21;401;5;5;23;129;0;0;5;2;0;2;17;15;2;2;109;1;0;0;13;3;0;0;0;1;3
2020;2;20202110011;110011;JARU;0;0;1;62;307;12;11;31;65;1;0;2;0;3;6;11;20;13;0;129;5;1;0;20;4;0;0;0;0;0
2020;2;20202110012;110012;JI-PARANA;0;0;0;46;445;61;71;82;196;8;1;8;4;2;8;54;64;18;1;269;5;0;0;48;23;1;0;0;0;0
2020;2;20202110013;110013;MACHADINHO D'OESTE;0;0;0;1;132;4;15;25;60;5;0;19;0;3;0;15;20;2;1;86;0;1;0;12;0;0;1;0;1;0
2020;2;20202110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;2;79;5;1;13;5;1;0;1;0;0;0;9;11;5;0;28;1;0;0;9;2;0;0;0;0;0
2020;2;20202110015;110015;OURO PRETO DO OESTE;0;0;0;19;278;9;4;15;31;1;0;1;1;0;2;41;12;10;0;62;1;0;0;5;8;0;0;0;1;4
2020;2;20202110018;110018;PIMENTA BUENO;0;0;0;8;256;34;23;55;19;1;0;5;5;0;4;9;29;2;1;74;0;0;0;26;1;0;0;0;0;0
2020;2;20202110020;110020;PORTO VELHO;2;0;0;54;3318;153;104;268;842;38;0;43;22;21;42;159;252;133;3;843;13;4;0;258;45;0;8;0;5;17
2020;2;20202110025;110025;PRESIDENTE MEDICI;0;0;0;1;93;7;4;13;18;0;1;1;0;0;0;5;12;3;1;39;1;0;0;8;5;0;0;0;0;0
2020;2;20202110026;110026;RIO CRESPO;0;0;0;18;10;1;0;1;7;0;0;1;0;2;0;3;0;1;0;2;1;0;0;4;0;0;0;0;0;0
2020;2;20202110028;110028;ROLIM DE MOURA;1;0;0;127;292;12;7;26;23;1;1;1;1;1;3;20;33;7;1;169;5;0;0;34;5;0;0;0;0;0
2020;2;20202110029;110029;SANTA LUZIA D'OESTE;0;0;0;4;84;6;0;14;3;1;0;4;0;1;0;5;3;1;0;19;0;0;0;5;2;0;0;0;0;0
2020;2;20202110030;110030;VILHENA;0;0;0;379;913;34;35;27;104;1;1;7;10;0;2;57;159;15;0;284;14;4;0;33;2;0;0;0;1;1
2020;2;20202110032;110032;SAO MIGUEL DO GUAPORE;0;0;0;8;115;2;11;17;17;2;0;5;0;0;2;18;6;10;0;83;0;0;1;10;0;0;0;0;0;0
2020;2;20202110033;110033;NOVA MAMORE;0;0;0;4;142;4;8;20;49;0;0;1;1;2;1;5;13;8;0;35;0;0;0;9;0;0;1;0;1;0
2020;2;20202110034;110034;ALVORADA D'OESTE;0;0;0;14;54;4;3;11;7;1;0;2;1;0;1;2;3;6;0;7;0;0;0;6;1;0;0;0;0;0
2020;2;20202110037;110037;ALTO ALEGRE DOS PARECIS;0;0;0;1;62;7;11;7;5;2;0;0;0;0;1;1;5;2;1;26;0;0;0;9;1;0;0;0;0;0
2020;2;20202110040;110040;ALTO PARAISO;0;0;0;3;83;10;4;10;14;0;0;1;0;0;1;1;5;2;0;11;2;0;0;8;0;0;0;0;0;0
2020;2;20202110045;110045;BURITIS;0;0;0;5;155;8;20;23;34;1;0;3;1;2;1;9;19;4;0;24;0;1;0;19;1;0;1;0;0;2
2020;2;20202110050;110050;NOVO HORIZONTE DO OESTE;1;0;0;11;45;3;1;6;2;1;0;2;0;0;0;5;1;0;0;13;0;0;0;2;0;0;0;0;0;0
2020;2;20202110060;110060;CACAULANDIA;0;0;0;1;12;3;0;4;7;0;0;0;0;0;0;0;4;0;0;2;0;1;0;1;1;0;0;0;0;0
2020;2;20202110070;110070;CAMPO NOVO DE RONDONIA;0;0;0;2;32;1;1;7;11;0;0;0;0;0;0;3;2;3;0;3;0;0;0;0;2;0;0;0;0;0
2020;2;20202110080;110080;CANDEIAS DO JAMARI;0;0;0;6;140;13;2;19;28;1;0;1;1;3;0;4;5;8;0;32;1;0;0;8;5;0;0;0;1;4
2020;2;20202110090;110090;CASTANHEIRAS;0;0;0;0;15;2;1;4;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;1;0;0;0;0;0;0
2020;2;20202110092;110092;CHUPINGUAIA;0;0;0;7;30;2;1;2;12;0;0;1;0;0;0;5;11;0;0;24;0;0;0;2;2;0;0;0;0;2
2020;2;20202110094;110094;CUJUBIM;1;0;0;2;55;1;2;16;15;0;0;0;1;1;0;1;8;1;0;13;1;0;0;2;1;0;0;0;0;0
2020;2;20202110100;110100;GOVERNADOR JORGE TEIXEIRA;0;0;0;0;12;0;3;3;9;1;0;0;0;0;1;0;4;2;0;11;0;0;0;5;0;0;0;0;0;0
2020;2;20202110110;110110;ITAPUA DO OESTE;0;0;0;1;36;5;0;5;11;0;0;0;0;0;0;2;5;0;0;13;0;0;0;4;1;0;0;0;0;0
2020;2;20202110120;110120;MINISTRO ANDREAZZA;0;0;0;0;30;8;2;2;9;1;0;0;1;0;0;2;1;1;0;7;0;0;0;5;1;0;0;0;0;0
2020;2;20202110130;110130;MIRANTE DA SERRA;0;0;0;1;57;3;3;7;5;0;0;2;1;0;1;10;3;3;0;9;2;0;0;5;1;0;0;0;0;0
2020;2;20202110140;110140;MONTE NEGRO;0;0;0;0;65;1;6;10;12;1;0;1;0;0;1;7;5;1;0;12;0;2;0;6;2;0;0;0;0;0
2020;2;20202110143;110143;NOVA UNIAO;0;0;0;0;26;0;0;1;3;0;0;0;0;1;0;6;2;2;0;7;0;0;0;1;0;0;0;0;0;0
2020;2;20202110145;110145;PARECIS;0;0;0;20;10;0;0;0;2;0;0;0;0;0;0;1;5;0;0;7;0;0;0;0;0;0;0;0;0;0
2020;2;20202110146;110146;PIMENTEIRAS DO OESTE;0;0;0;6;16;0;1;0;1;0;0;0;0;0;0;0;2;0;0;11;0;0;0;0;1;0;0;0;0;0
2020;2;20202110147;110147;PRIMAVERA DE RONDONIA;0;0;0;3;16;0;4;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0
2020;2;20202110148;110148;SAO FELIPE D'OESTE;0;0;0;1;12;1;1;2;1;1;0;0;0;0;1;2;4;0;0;3;1;0;0;7;0;0;0;0;0;0
2020;2;20202110149;110149;SAO FRANCISCO DO GUAPORE;0;0;0;3;132;3;5;16;21;0;0;0;0;0;0;13;10;7;0;44;1;1;0;3;3;0;0;0;0;0
2020;2;20202110150;110150;SERINGUEIRAS;0;0;0;12;51;3;6;6;6;0;0;0;0;0;2;9;9;4;0;25;1;0;0;5;5;0;0;0;0;0
2020;2;20202110155;110155;TEIXEIROPOLIS;0;0;0;1;13;2;3;1;2;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0
2020;2;20202110160;110160;THEOBROMA;1;0;0;0;33;3;1;2;6;1;0;1;0;0;1;1;4;1;0;9;1;0;0;3;4;0;1;0;0;0
2020;2;20202110170;110170;URUPA;0;0;0;3;30;2;1;7;6;1;0;1;0;0;2;9;5;0;0;11;0;0;0;2;1;0;0;0;0;0
2020;2;20202110175;110175;VALE DO ANARI;0;0;0;1;13;1;4;2;4;1;0;0;0;1;0;0;2;0;0;10;0;0;0;0;2;1;0;0;0;0
2020;2;20202110180;110180;VALE DO PARAISO;0;0;0;2;31;3;2;3;5;0;1;1;1;0;1;2;4;0;0;7;0;0;0;1;1;0;0;0;0;0
2020;2;20202120001;120001;ACRELANDIA;0;0;0;0;30;3;0;9;17;0;2;2;0;0;1;3;10;3;0;13;0;0;0;2;0;0;0;0;0;1
2020;2;20202120005;120005;ASSIS BRASIL;0;0;0;8;56;1;0;0;35;0;0;1;0;0;0;3;1;0;0;22;0;0;0;0;0;0;0;0;0;0
2020;2;20202120010;120010;BRASILEIA;0;0;0;26;95;7;6;17;55;1;0;1;1;0;1;6;8;1;0;82;0;1;0;2;2;0;0;0;1;2
2020;2;20202120013;120013;BUJARI;0;0;0;1;16;1;3;3;9;0;0;1;0;0;0;2;3;2;0;7;0;0;0;0;0;0;0;0;0;0
2020;2;20202120017;120017;CAPIXABA;0;0;0;1;20;1;4;5;18;0;0;0;0;0;0;3;7;0;0;12;0;0;0;1;0;0;0;0;0;0
2020;2;20202120020;120020;CRUZEIRO DO SUL;0;0;0;50;456;15;10;10;156;0;0;5;9;8;7;74;83;15;5;239;3;0;0;9;3;0;0;0;0;0
2020;2;20202120025;120025;EPITACIOLANDIA;0;0;0;16;83;5;2;11;29;0;0;0;1;0;1;5;9;0;0;43;0;0;0;1;0;0;0;0;0;0
2020;2;20202120030;120030;FEIJO;0;0;0;3;32;7;1;2;12;0;0;6;1;0;0;11;23;2;0;16;1;0;0;0;3;0;0;0;0;0
2020;2;20202120032;120032;JORDAO;0;0;0;5;6;0;0;0;11;0;0;1;0;0;0;0;4;0;1;10;0;0;0;0;0;0;0;0;0;0
2020;2;20202120033;120033;MANCIO LIMA;0;0;0;9;50;7;1;2;33;1;0;1;1;1;0;11;31;3;0;43;0;0;0;1;2;0;0;0;0;0
2020;2;20202120034;120034;MANOEL URBANO;0;0;0;3;16;1;1;5;17;0;0;1;0;0;0;1;6;1;0;6;0;0;0;1;1;0;0;0;0;0
