 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Abr-Jun/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"270390 JUNDIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270400 JUNQUEIRO";-;-;-;-;11;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"270410 LAGOA DA CANOA";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7
"270420 LIMOEIRO DE ANADIA";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"270430 MACEIO";-;-;-;-;329;93;28;4;-;-;-;7;-;-;5;10;3;1;-;-;6;2;-;11;2;-;1;1;503
"270440 MAJOR ISIDORO";-;-;-;-;5;1;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"270450 MARAGOGI";-;-;-;-;6;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;11
"270460 MARAVILHA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270470 MARECHAL DEODORO";-;-;-;-;28;3;2;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;2;-;-;-;-;39
"270480 MARIBONDO";-;-;-;-;6;2;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;11
"270490 MAR VERMELHO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270500 MATA GRANDE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270510 MATRIZ DE CAMARAGIBE";-;-;-;-;15;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"270520 MESSIAS";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270530 MINADOR DO NEGRAO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270540 MONTEIROPOLIS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270550 MURICI";-;-;-;-;15;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;18
"270560 NOVO LINO";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"270570 OLHO D'AGUA DAS FLORES";-;-;-;-;3;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"270580 OLHO D'AGUA DO CASADO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270590 OLHO D'AGUA GRANDE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270600 OLIVENCA";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"270610 OURO BRANCO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"270620 PALESTINA";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270630 PALMEIRA DOS INDIOS";-;-;-;-;50;2;-;-;-;-;-;2;-;-;-;5;-;1;-;-;-;-;-;1;-;-;-;-;61
"270640 PAO DE ACUCAR";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270642 PARICONHA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270644 PARIPUEIRA";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"270650 PASSO DE CAMARAGIBE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270660 PAULO JACINTO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270670 PENEDO";-;-;-;-;28;2;2;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;35
"270680 PIACABUCU";-;-;-;-;5;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"270690 PILAR";-;-;-;-;16;3;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;23
"270700 PINDOBA";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270710 PIRANHAS";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"270720 POCO DAS TRINCHEIRAS";-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"270730 PORTO CALVO";-;-;-;-;8;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"270740 PORTO DE PEDRAS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270750 PORTO REAL DO COLEGIO";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;2;-;-;-;-;14
"270760 QUEBRANGULO";-;-;-;-;2;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"270770 RIO LARGO";-;-;-;-;28;2;1;1;-;-;-;2;-;-;2;-;2;-;-;-;-;-;-;2;-;-;-;-;40
"270780 ROTEIRO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270790 SANTA LUZIA DO NORTE";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"270800 SANTANA DO IPANEMA";-;-;-;1;20;3;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;2;-;-;-;-;29
"270810 SANTANA DO MUNDAU";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270820 SAO BRAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270830 SAO JOSE DA LAJE";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"270840 SAO JOSE DA TAPERA";-;-;-;1;8;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;13
"270850 SAO LUIS DO QUITUNDE";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;8
"270860 SAO MIGUEL DOS CAMPOS";-;-;-;-;31;2;1;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;-;40
"270870 SAO MIGUEL DOS MILAGRES";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"270880 SAO SEBASTIAO";-;-;-;-;9;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"270890 SATUBA";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270895 SENADOR RUI PALMEIRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"270900 TANQUE D'ARCA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"270910 TAQUARANA";-;-;-;-;5;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"270915 TEOTONIO VILELA";-;-;-;-;18;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;23
"270920 TRAIPU";-;-;-;-;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"270930 UNIAO DOS PALMARES";-;-;-;-;27;3;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;2;-;-;-;-;36
"270940 VICOSA";-;-;-;-;15;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;18
"280020 AQUIDABA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280030 ARACAJU";-;-;-;2;165;26;16;5;-;-;-;11;5;-;8;15;5;1;-;-;1;-;-;12;4;-;1;-;277
"280040 ARAUA";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"280050 AREIA BRANCA";-;-;-;-;18;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"280060 BARRA DOS COQUEIROS";-;-;-;1;7;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;13
"280067 BOQUIM";-;-;-;-;9;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"280070 BREJO GRANDE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"280100 CAMPO DO BRITO";-;-;-;-;9;1;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;14
"280110 CANHOBA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280120 CANINDE DE SAO FRANCISCO";-;-;-;1;6;1;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;13
"280130 CAPELA";-;-;-;-;10;2;4;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;20
"280140 CARIRA";-;-;-;-;14;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;18
"280150 CARMOPOLIS";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"280160 CEDRO DE SAO JOAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"280170 CRISTINAPOLIS";-;-;-;-;7;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"280190 CUMBE";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280200 DIVINA PASTORA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280210 ESTANCIA";-;-;-;1;48;5;1;-;-;-;-;1;-;-;3;1;1;1;-;-;-;-;-;2;1;-;-;-;65
"280220 FEIRA NOVA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"280230 FREI PAULO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"280240 GARARU";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280250 GENERAL MAYNARD";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"280260 GRACHO CARDOSO";-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280270 ILHA DAS FLORES";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"280280 INDIAROBA";-;-;-;-;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"280290 ITABAIANA";-;-;-;1;69;2;4;-;-;-;-;1;-;-;1;1;3;-;-;-;-;-;-;2;2;-;-;-;86
"280300 ITABAIANINHA";-;-;-;-;17;-;-;1;-;-;-;1;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;23
"280310 ITABI";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"280320 ITAPORANGA D'AJUDA";-;-;-;-;8;2;1;2;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;16
"280330 JAPARATUBA";-;-;-;-;10;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12
"280340 JAPOATA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280350 LAGARTO";-;-;-;1;76;11;2;-;-;-;-;4;-;-;1;-;4;1;-;-;-;-;-;3;-;-;-;-;103
"280360 LARANJEIRAS";-;-;-;-;14;5;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;21
"280370 MACAMBIRA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280380 MALHADA DOS BOIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;4
"280390 MALHADOR";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"280400 MARUIM";-;-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"280410 MOITA BONITA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"280420 MONTE ALEGRE DE SERGIPE";-;-;-;1;10;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;15
"280430 MURIBECA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280440 NEOPOLIS";-;-;-;1;9;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"280445 NOSSA SENHORA APARECIDA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280450 NOSSA SENHORA DA GLORIA";-;-;-;3;12;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;24
"280460 NOSSA SENHORA DAS DORES";-;-;-;-;6;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"280470 NOSSA SENHORA DE LOURDES";-;-;-;-;5;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280480 NOSSA SENHORA DO SOCORRO";-;-;-;5;69;9;2;-;-;-;-;1;1;-;3;3;5;-;-;-;1;1;-;2;1;-;-;-;103
"280490 PACATUBA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"280500 PEDRA MOLE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280510 PEDRINHAS";-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"280520 PINHAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280530 PIRAMBU";-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280540 POCO REDONDO";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"280550 POCO VERDE";-;-;-;1;9;1;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;15
"280560 PORTO DA FOLHA";-;-;-;-;11;4;-;-;-;-;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;19
"280570 PROPRIA";-;-;-;-;15;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;20
"280580 RIACHAO DO DANTAS";-;-;-;-;4;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"280590 RIACHUELO";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"280600 RIBEIROPOLIS";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"280610 ROSARIO DO CATETE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"280620 SALGADO";-;-;-;-;4;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"280630 SANTA LUZIA DO ITANHY";-;-;-;-;6;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"280640 SANTANA DO SAO FRANCISCO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4
"280650 SANTA ROSA DE LIMA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280660 SANTO AMARO DAS BROTAS";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"280670 SAO CRISTOVAO";-;-;-;1;33;4;5;-;-;-;-;-;-;-;-;4;1;-;-;-;1;-;-;1;-;-;-;-;50
"280680 SAO DOMINGOS";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"280690 SAO FRANCISCO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"280700 SAO MIGUEL DO ALEIXO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280710 SIMAO DIAS";-;-;-;-;14;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;19
"280720 SIRIRI";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"280740 TOBIAS BARRETO";-;-;-;-;17;3;1;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;26
"280750 TOMAR DO GERU";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"280760 UMBAUBA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"290010 ABAIRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290020 ABARE";-;-;-;-;5;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"290030 ACAJUTIBA";-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"290035 ADUSTINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290040 AGUA FRIA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;7
"290050 ERICO CARDOSO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;4
"290070 ALAGOINHAS";-;-;-;3;93;4;16;3;-;-;-;1;1;-;-;6;2;-;-;-;1;-;-;5;-;-;-;-;135
"290080 ALCOBACA";-;-;-;-;9;2;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;15
"290090 ALMADINA";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290100 AMARGOSA";-;-;-;2;26;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;34
"290110 AMELIA RODRIGUES";-;-;-;-;4;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"290115 AMERICA DOURADA";-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"290120 ANAGE";-;-;-;-;4;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;9
"290130 ANDARAI";-;-;-;-;4;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"290135 ANDORINHA";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"290140 ANGICAL";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"290150 ANGUERA";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"290160 ANTAS";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"290170 ANTONIO CARDOSO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290180 ANTONIO GONCALVES";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"290190 APORA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"290195 APUAREMA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290200 ARACATU";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"290205 ARACAS";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"290210 ARACI";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;15
"290220 ARAMARI";-;-;-;-;5;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"290225 ARATACA";-;-;-;-;5;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;8
"290230 ARATUIPE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290240 AURELINO LEAL";-;-;-;-;9;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;13
"290250 BAIANOPOLIS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;5
"290260 BAIXA GRANDE";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"290265 BANZAE";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"290270 BARRA";-;-;-;-;19;3;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;26
"290280 BARRA DA ESTIVA";-;-;-;-;7;3;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"290290 BARRA DO CHOCA";-;-;-;-;8;-;-;1;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;13
"290300 BARRA DO MENDES";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290310 BARRA DO ROCHA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"290320 BARREIRAS";-;-;-;-;59;2;7;1;-;-;-;3;4;-;-;8;1;-;-;-;1;1;-;6;-;-;-;-;93
"290323 BARRO ALTO";-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290327 BARROCAS";-;-;-;-;5;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"290330 BARRO PRETO";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290340 BELMONTE";-;-;-;-;7;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"290350 BELO CAMPO";-;-;-;3;4;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"290360 BIRITINGA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"290370 BOA NOVA";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"290380 BOA VISTA DO TUPIM";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"290390 BOM JESUS DA LAPA";-;-;-;-;27;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;32
"290395 BOM JESUS DA SERRA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290400 BONINAL";-;-;-;-;6;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"290405 BONITO";-;-;-;-;9;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12
"290410 BOQUIRA";-;-;-;-;11;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;16
