 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2019
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"261580 TUPANATINGA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;8
"261590 TUPARETAMA";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"261600 VENTUROSA";-;-;-;7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"261610 VERDEJANTE";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"261618 VERTENTE DO LERIO";-;-;1;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"261620 VERTENTES";-;-;-;12;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"261630 VICENCIA";-;-;-;12;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;2;-;-;-;19
"261640 VITORIA DE SANTO ANTAO";-;-;1;80;6;7;2;-;-;-;1;2;-;2;1;2;-;-;-;3;-;-;5;1;-;-;113
"261650 XEXEU";-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"270010 AGUA BRANCA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"270020 ANADIA";-;-;-;7;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;10
"270030 ARAPIRACA";-;-;-;105;21;5;5;-;-;-;4;-;-;-;5;3;-;-;-;3;-;-;8;-;-;-;159
"270040 ATALAIA";-;-;-;14;4;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;24
"270050 BARRA DE SANTO ANTONIO";-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"270060 BARRA DE SAO MIGUEL";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"270070 BATALHA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"270080 BELEM";-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270100 BOCA DA MATA";-;-;-;10;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;15
"270110 BRANQUINHA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270120 CACIMBINHAS";-;-;-;5;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"270130 CAJUEIRO";-;-;-;5;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"270135 CAMPESTRE";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270140 CAMPO ALEGRE";-;-;-;13;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;17
"270150 CAMPO GRANDE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270160 CANAPI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270170 CAPELA";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270180 CARNEIROS";-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"270190 CHA PRETA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270200 COITE DO NOIA";-;-;-;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"270210 COLONIA LEOPOLDINA";-;-;1;18;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;22
"270220 COQUEIRO SECO";-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"270230 CORURIPE";-;-;-;19;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;23
"270235 CRAIBAS";-;-;-;9;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;11
"270240 DELMIRO GOUVEIA";-;-;2;15;4;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;26
"270250 DOIS RIACHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"270255 ESTRELA DE ALAGOAS";-;-;-;7;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"270260 FEIRA GRANDE";-;-;-;10;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"270270 FELIZ DESERTO";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270280 FLEXEIRAS";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"270290 GIRAU DO PONCIANO";-;-;-;9;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;14
"270300 IBATEGUARA";-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"270310 IGACI";-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"270320 IGREJA NOVA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270330 INHAPI";-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270340 JACARE DOS HOMENS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270350 JACUIPE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270360 JAPARATINGA";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270370 JARAMATAIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270375 JEQUIA DA PRAIA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"270380 JOAQUIM GOMES";-;-;-;8;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;12
"270390 JUNDIA";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270400 JUNQUEIRO";-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"270410 LAGOA DA CANOA";-;-;-;16;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;20
"270420 LIMOEIRO DE ANADIA";-;-;-;10;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;14
"270430 MACEIO";-;1;-;343;70;25;9;-;-;-;1;4;-;4;8;8;1;-;-;7;1;-;14;6;1;1;504
"270440 MAJOR ISIDORO";-;-;-;5;2;-;-;-;-;-;1;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;12
"270450 MARAGOGI";-;-;-;9;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"270460 MARAVILHA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270470 MARECHAL DEODORO";-;-;-;22;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;30
"270480 MARIBONDO";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"270500 MATA GRANDE";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;10
"270510 MATRIZ DE CAMARAGIBE";-;-;-;13;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;16
"270520 MESSIAS";-;-;-;5;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;11
"270540 MONTEIROPOLIS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"270550 MURICI";-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"270560 NOVO LINO";-;-;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"270570 OLHO D'AGUA DAS FLORES";-;-;-;6;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"270580 OLHO D'AGUA DO CASADO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270590 OLHO D'AGUA GRANDE";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270600 OLIVENCA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"270610 OURO BRANCO";-;-;-;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270620 PALESTINA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270630 PALMEIRA DOS INDIOS";-;-;-;52;7;1;-;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;65
"270640 PAO DE ACUCAR";-;-;1;11;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"270642 PARICONHA";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270644 PARIPUEIRA";-;-;-;5;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"270650 PASSO DE CAMARAGIBE";-;-;-;5;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"270660 PAULO JACINTO";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270670 PENEDO";-;-;-;26;2;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;-;34
"270680 PIACABUCU";-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"270690 PILAR";-;-;-;14;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"270710 PIRANHAS";-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"270720 POCO DAS TRINCHEIRAS";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"270730 PORTO CALVO";-;-;-;4;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;8
"270740 PORTO DE PEDRAS";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"270750 PORTO REAL DO COLEGIO";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"270760 QUEBRANGULO";-;-;-;6;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;10
"270770 RIO LARGO";-;-;-;30;7;3;-;-;-;-;1;1;-;2;-;1;-;-;-;2;-;-;-;1;-;-;48
"270780 ROTEIRO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270790 SANTA LUZIA DO NORTE";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270800 SANTANA DO IPANEMA";-;-;-;19;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;22
"270810 SANTANA DO MUNDAU";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270820 SAO BRAS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"270830 SAO JOSE DA LAJE";-;-;-;9;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;13
"270840 SAO JOSE DA TAPERA";-;-;-;8;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;14
"270850 SAO LUIS DO QUITUNDE";-;-;-;15;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;18
"270860 SAO MIGUEL DOS CAMPOS";-;-;-;34;4;4;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;46
"270870 SAO MIGUEL DOS MILAGRES";-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;6
"270880 SAO SEBASTIAO";-;-;-;8;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"270890 SATUBA";-;-;1;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"270895 SENADOR RUI PALMEIRA";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270900 TANQUE D'ARCA";-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"270910 TAQUARANA";-;-;-;9;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;4;-;-;-;15
"270915 TEOTONIO VILELA";-;-;-;13;2;1;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;21
"270920 TRAIPU";-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"270930 UNIAO DOS PALMARES";-;-;-;38;5;2;1;-;-;-;-;-;-;3;-;-;-;-;1;1;-;-;1;1;-;-;53
"270940 VICOSA";-;-;-;13;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"280010 AMPARO DE SAO FRANCISCO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280020 AQUIDABA";-;-;1;5;-;1;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;10
"280030 ARACAJU";-;-;4;168;27;8;2;-;-;-;9;1;-;6;18;10;-;-;-;3;1;-;7;3;-;2;269
"280040 ARAUA";-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"280050 AREIA BRANCA";-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"280060 BARRA DOS COQUEIROS";-;-;-;11;3;2;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;20
"280067 BOQUIM";-;-;-;8;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;11
"280100 CAMPO DO BRITO";-;-;-;9;2;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"280110 CANHOBA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280120 CANINDE DE SAO FRANCISCO";-;-;2;8;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;14
"280130 CAPELA";-;-;-;16;3;1;3;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;26
"280140 CARIRA";-;-;-;7;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;10
"280150 CARMOPOLIS";-;-;1;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"280160 CEDRO DE SAO JOAO";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"280170 CRISTINAPOLIS";-;-;-;9;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"280190 CUMBE";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280200 DIVINA PASTORA";-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"280210 ESTANCIA";-;-;1;39;5;2;1;-;-;-;1;1;-;-;2;1;-;-;-;-;-;-;2;-;-;-;55
"280220 FEIRA NOVA";-;-;2;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"280230 FREI PAULO";-;-;-;1;1;-;-;-;-;-;2;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;7
"280240 GARARU";-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"280250 GENERAL MAYNARD";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280260 GRACHO CARDOSO";-;-;1;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"280270 ILHA DAS FLORES";-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;5
"280280 INDIAROBA";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280290 ITABAIANA";-;-;2;35;3;3;-;-;-;-;3;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;51
"280300 ITABAIANINHA";-;-;-;14;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;17
"280310 ITABI";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280320 ITAPORANGA D'AJUDA";-;-;-;13;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"280330 JAPARATUBA";-;-;-;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280340 JAPOATA";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280350 LAGARTO";-;-;-;38;5;2;-;-;-;-;3;2;-;-;2;2;-;-;-;-;-;-;2;-;-;-;56
"280360 LARANJEIRAS";-;-;-;15;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;20
"280370 MACAMBIRA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"280380 MALHADA DOS BOIS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280390 MALHADOR";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"280400 MARUIM";-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"280410 MOITA BONITA";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280420 MONTE ALEGRE DE SERGIPE";-;-;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"280430 MURIBECA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"280440 NEOPOLIS";-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;5
"280445 NOSSA SENHORA APARECIDA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"280450 NOSSA SENHORA DA GLORIA";-;-;-;25;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;28
"280460 NOSSA SENHORA DAS DORES";-;-;2;8;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;12
"280480 NOSSA SENHORA DO SOCORRO";1;-;7;79;21;7;1;-;-;-;3;-;-;1;2;3;-;-;-;-;-;-;4;1;-;-;130
"280490 PACATUBA";-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280500 PEDRA MOLE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280510 PEDRINHAS";-;-;-;5;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"280520 PINHAO";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280530 PIRAMBU";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;8
"280540 POCO REDONDO";-;-;1;5;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"280550 POCO VERDE";-;-;-;4;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;8
"280560 PORTO DA FOLHA";-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"280570 PROPRIA";-;-;-;13;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;16
"280580 RIACHAO DO DANTAS";-;-;-;6;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"280590 RIACHUELO";-;-;-;4;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"280600 RIBEIROPOLIS";-;-;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"280610 ROSARIO DO CATETE";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"280620 SALGADO";-;-;-;2;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"280630 SANTA LUZIA DO ITANHY";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"280640 SANTANA DO SAO FRANCISCO";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280650 SANTA ROSA DE LIMA";-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"280660 SANTO AMARO DAS BROTAS";-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"280670 SAO CRISTOVAO";-;-;1;33;3;1;1;-;-;-;3;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;45
"280680 SAO DOMINGOS";-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"280700 SAO MIGUEL DO ALEIXO";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280710 SIMAO DIAS";-;-;-;19;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;21
"280720 SIRIRI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280730 TELHA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280740 TOBIAS BARRETO";-;-;1;11;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;-;-;-;18
"280750 TOMAR DO GERU";-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"280760 UMBAUBA";-;-;1;7;2;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
"290010 ABAIRA";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"290020 ABARE";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"290030 ACAJUTIBA";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290035 ADUSTINA";-;-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;5
"290040 AGUA FRIA";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290050 ERICO CARDOSO";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"290060 AIQUARA";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290070 ALAGOINHAS";-;-;4;119;7;12;8;-;-;-;-;3;-;1;2;3;-;-;-;2;-;-;6;-;-;-;167
"290080 ALCOBACA";-;-;-;7;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"290090 ALMADINA";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"290100 AMARGOSA";-;-;-;22;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;24
"290110 AMELIA RODRIGUES";-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"290115 AMERICA DOURADA";-;-;-;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"290120 ANAGE";-;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"290130 ANDARAI";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290135 ANDORINHA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
