"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;2;203;13;23;20;21;0;0;0;1;0;2;6;23;5;0;39;1;2;0;16;4;0;0;0;1;1;383
"110002";"ARIQUEMES";0;0;0;25;656;22;33;72;119;6;0;15;6;4;9;23;48;10;1;151;9;7;0;49;6;0;3;0;2;0;1276
"110003";"CABIXI";0;0;0;9;89;3;5;2;5;0;0;3;0;0;0;1;8;0;0;11;0;0;0;2;0;0;0;0;0;0;138
"110004";"CACOAL";1;0;0;23;455;64;40;53;61;4;0;10;7;3;11;27;74;19;1;200;5;4;0;77;8;0;1;0;0;0;1148
"110005";"CEREJEIRAS";0;0;0;21;143;2;6;4;10;0;0;0;0;0;0;12;11;3;0;47;2;0;0;4;0;0;0;0;0;0;265
"110006";"COLORADO DO OESTE";0;0;0;20;99;10;1;4;11;0;0;0;1;0;1;3;21;2;0;26;1;0;0;3;2;0;0;0;0;0;205
"110007";"CORUMBIARA";0;0;0;9;19;0;0;1;5;0;0;1;0;0;1;1;11;1;0;10;0;1;0;2;2;0;0;0;1;2;67
"110008";"COSTA MARQUES";0;0;0;5;70;0;3;7;12;0;0;1;0;0;0;6;2;3;0;31;3;0;0;5;0;0;0;0;0;0;148
"110009";"ESPIGAO D'OESTE";1;0;0;4;232;18;8;42;23;4;0;3;3;1;3;15;20;9;0;41;1;0;0;11;1;0;0;0;0;0;440
"110010";"GUAJARA-MIRIM";3;0;0;21;401;5;5;23;129;0;0;5;2;0;2;17;15;2;2;109;1;0;0;13;3;0;0;0;1;3;762
"110011";"JARU";0;0;1;62;307;12;11;31;65;1;0;2;0;3;6;11;20;13;0;129;5;1;0;20;4;0;0;0;0;0;704
"110012";"JI-PARANA";0;0;0;46;445;61;71;82;196;8;1;8;4;2;8;54;64;18;1;269;5;0;0;48;23;1;0;0;0;0;1415
"110013";"MACHADINHO D'OESTE";0;0;0;1;132;4;15;25;60;5;0;19;0;3;0;15;20;2;1;86;0;1;0;12;0;0;1;0;1;0;403
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;2;79;5;1;13;5;1;0;1;0;0;0;9;11;5;0;28;1;0;0;9;2;0;0;0;0;0;172
"110015";"OURO PRETO DO OESTE";0;0;0;19;278;9;4;15;31;1;0;1;1;0;2;41;12;10;0;62;1;0;0;5;8;0;0;0;1;4;505
"110018";"PIMENTA BUENO";0;0;0;8;256;34;23;55;19;1;0;5;5;0;4;9;29;2;1;74;0;0;0;26;1;0;0;0;0;0;552
"110020";"PORTO VELHO";2;0;0;54;3318;153;104;268;842;38;0;43;22;21;42;159;252;133;3;843;13;4;0;258;45;0;8;0;5;17;6647
"110025";"PRESIDENTE MEDICI";0;0;0;1;93;7;4;13;18;0;1;1;0;0;0;5;12;3;1;39;1;0;0;8;5;0;0;0;0;0;212
"110026";"RIO CRESPO";0;0;0;18;10;1;0;1;7;0;0;1;0;2;0;3;0;1;0;2;1;0;0;4;0;0;0;0;0;0;51
"110028";"ROLIM DE MOURA";1;0;0;127;292;12;7;26;23;1;1;1;1;1;3;20;33;7;1;169;5;0;0;34;5;0;0;0;0;0;770
"110029";"SANTA LUZIA D'OESTE";0;0;0;4;84;6;0;14;3;1;0;4;0;1;0;5;3;1;0;19;0;0;0;5;2;0;0;0;0;0;152
"110030";"VILHENA";0;0;0;379;913;34;35;27;104;1;1;7;10;0;2;57;159;15;0;284;14;4;0;33;2;0;0;0;1;1;2083
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;8;115;2;11;17;17;2;0;5;0;0;2;18;6;10;0;83;0;0;1;10;0;0;0;0;0;0;307
"110033";"NOVA MAMORE";0;0;0;4;142;4;8;20;49;0;0;1;1;2;1;5;13;8;0;35;0;0;0;9;0;0;1;0;1;0;304
"110034";"ALVORADA D'OESTE";0;0;0;14;54;4;3;11;7;1;0;2;1;0;1;2;3;6;0;7;0;0;0;6;1;0;0;0;0;0;123
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;1;62;7;11;7;5;2;0;0;0;0;1;1;5;2;1;26;0;0;0;9;1;0;0;0;0;0;141
"110040";"ALTO PARAISO";0;0;0;3;83;10;4;10;14;0;0;1;0;0;1;1;5;2;0;11;2;0;0;8;0;0;0;0;0;0;155
"110045";"BURITIS";0;0;0;5;155;8;20;23;34;1;0;3;1;2;1;9;19;4;0;24;0;1;0;19;1;0;1;0;0;2;333
"110050";"NOVO HORIZONTE DO OESTE";1;0;0;11;45;3;1;6;2;1;0;2;0;0;0;5;1;0;0;13;0;0;0;2;0;0;0;0;0;0;93
"110060";"CACAULANDIA";0;0;0;1;12;3;0;4;7;0;0;0;0;0;0;0;4;0;0;2;0;1;0;1;1;0;0;0;0;0;36
"110070";"CAMPO NOVO DE RONDONIA";0;0;0;2;32;1;1;7;11;0;0;0;0;0;0;3;2;3;0;3;0;0;0;0;2;0;0;0;0;0;67
"110080";"CANDEIAS DO JAMARI";0;0;0;6;140;13;2;19;28;1;0;1;1;3;0;4;5;8;0;32;1;0;0;8;5;0;0;0;1;4;282
"110090";"CASTANHEIRAS";0;0;0;0;15;2;1;4;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;1;0;0;0;0;0;0;30
"110092";"CHUPINGUAIA";0;0;0;7;30;2;1;2;12;0;0;1;0;0;0;5;11;0;0;24;0;0;0;2;2;0;0;0;0;2;101
"110094";"CUJUBIM";1;0;0;2;55;1;2;16;15;0;0;0;1;1;0;1;8;1;0;13;1;0;0;2;1;0;0;0;0;0;121
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;0;12;0;3;3;9;1;0;0;0;0;1;0;4;2;0;11;0;0;0;5;0;0;0;0;0;0;51
"110110";"ITAPUA DO OESTE";0;0;0;1;36;5;0;5;11;0;0;0;0;0;0;2;5;0;0;13;0;0;0;4;1;0;0;0;0;0;83
"110120";"MINISTRO ANDREAZZA";0;0;0;0;30;8;2;2;9;1;0;0;1;0;0;2;1;1;0;7;0;0;0;5;1;0;0;0;0;0;70
"110130";"MIRANTE DA SERRA";0;0;0;1;57;3;3;7;5;0;0;2;1;0;1;10;3;3;0;9;2;0;0;5;1;0;0;0;0;0;113
"110140";"MONTE NEGRO";0;0;0;0;65;1;6;10;12;1;0;1;0;0;1;7;5;1;0;12;0;2;0;6;2;0;0;0;0;0;132
"110143";"NOVA UNIAO";0;0;0;0;26;0;0;1;3;0;0;0;0;1;0;6;2;2;0;7;0;0;0;1;0;0;0;0;0;0;49
"110145";"PARECIS";0;0;0;20;10;0;0;0;2;0;0;0;0;0;0;1;5;0;0;7;0;0;0;0;0;0;0;0;0;0;45
"110146";"PIMENTEIRAS DO OESTE";0;0;0;6;16;0;1;0;1;0;0;0;0;0;0;0;2;0;0;11;0;0;0;0;1;0;0;0;0;0;38
"110147";"PRIMAVERA DE RONDONIA";0;0;0;3;16;0;4;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;29
"110148";"SAO FELIPE D'OESTE";0;0;0;1;12;1;1;2;1;1;0;0;0;0;1;2;4;0;0;3;1;0;0;7;0;0;0;0;0;0;37
"110149";"SAO FRANCISCO DO GUAPORE";0;0;0;3;132;3;5;16;21;0;0;0;0;0;0;13;10;7;0;44;1;1;0;3;3;0;0;0;0;0;262
"110150";"SERINGUEIRAS";0;0;0;12;51;3;6;6;6;0;0;0;0;0;2;9;9;4;0;25;1;0;0;5;5;0;0;0;0;0;144
"110155";"TEIXEIROPOLIS";0;0;0;1;13;2;3;1;2;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;26
"110160";"THEOBROMA";1;0;0;0;33;3;1;2;6;1;0;1;0;0;1;1;4;1;0;9;1;0;0;3;4;0;1;0;0;0;73
"110170";"URUPA";0;0;0;3;30;2;1;7;6;1;0;1;0;0;2;9;5;0;0;11;0;0;0;2;1;0;0;0;0;0;81
"110175";"VALE DO ANARI";0;0;0;1;13;1;4;2;4;1;0;0;0;1;0;0;2;0;0;10;0;0;0;0;2;1;0;0;0;0;42
"110180";"VALE DO PARAISO";0;0;0;2;31;3;2;3;5;0;1;1;1;0;1;2;4;0;0;7;0;0;0;1;1;0;0;0;0;0;65
"120001";"ACRELANDIA";0;0;0;0;30;3;0;9;17;0;2;2;0;0;1;3;10;3;0;13;0;0;0;2;0;0;0;0;0;1;96
"120005";"ASSIS BRASIL";0;0;0;8;56;1;0;0;35;0;0;1;0;0;0;3;1;0;0;22;0;0;0;0;0;0;0;0;0;0;127
"120010";"BRASILEIA";0;0;0;26;95;7;6;17;55;1;0;1;1;0;1;6;8;1;0;82;0;1;0;2;2;0;0;0;1;2;315
"120013";"BUJARI";0;0;0;1;16;1;3;3;9;0;0;1;0;0;0;2;3;2;0;7;0;0;0;0;0;0;0;0;0;0;48
"120017";"CAPIXABA";0;0;0;1;20;1;4;5;18;0;0;0;0;0;0;3;7;0;0;12;0;0;0;1;0;0;0;0;0;0;72
"120020";"CRUZEIRO DO SUL";0;0;0;50;456;15;10;10;156;0;0;5;9;8;7;74;83;15;5;239;3;0;0;9;3;0;0;0;0;0;1157
"120025";"EPITACIOLANDIA";0;0;0;16;83;5;2;11;29;0;0;0;1;0;1;5;9;0;0;43;0;0;0;1;0;0;0;0;0;0;206
"120030";"FEIJO";0;0;0;3;32;7;1;2;12;0;0;6;1;0;0;11;23;2;0;16;1;0;0;0;3;0;0;0;0;0;120
"120032";"JORDAO";0;0;0;5;6;0;0;0;11;0;0;1;0;0;0;0;4;0;1;10;0;0;0;0;0;0;0;0;0;0;38
"120033";"MANCIO LIMA";0;0;0;9;50;7;1;2;33;1;0;1;1;1;0;11;31;3;0;43;0;0;0;1;2;0;0;0;0;0;197
"120034";"MANOEL URBANO";0;0;0;3;16;1;1;5;17;0;0;1;0;0;0;1;6;1;0;6;0;0;0;1;1;0;0;0;0;0;60
"120035";"MARECHAL THAUMATURGO";0;0;0;60;61;0;0;4;41;1;0;0;1;1;0;6;6;1;0;16;0;0;0;2;0;0;0;0;0;0;200
"120038";"PLACIDO DE CASTRO";1;0;0;16;43;1;3;7;30;0;0;2;0;0;1;3;10;1;0;20;0;0;0;1;0;0;0;0;0;0;139
"120039";"PORTO WALTER";0;0;0;2;20;1;0;0;9;0;0;1;1;0;1;5;3;1;0;17;0;0;0;0;0;0;0;0;0;0;61
"120040";"RIO BRANCO";16;0;1;70;1276;143;96;122;793;10;6;36;20;5;38;168;372;107;14;849;15;1;0;66;33;0;0;0;3;19;4279
"120042";"RODRIGUES ALVES";0;0;0;13;80;3;3;2;41;0;0;0;0;0;0;5;15;0;0;37;2;0;0;0;0;0;0;0;0;0;201
"120043";"SANTA ROSA DO PURUS";0;0;0;0;12;0;1;1;6;0;0;0;0;0;0;1;5;0;0;3;0;0;0;0;0;0;0;0;0;0;29
"120045";"SENADOR GUIOMARD";0;0;0;9;100;0;5;3;48;0;0;0;0;0;0;5;12;5;1;37;2;0;0;4;0;0;0;0;0;0;231
"120050";"SENA MADUREIRA";1;0;0;21;232;8;7;32;113;0;0;3;1;0;2;6;15;3;0;63;0;1;0;4;1;0;0;0;0;0;513
"120060";"TARAUACA";0;0;0;61;99;2;1;4;133;0;0;1;2;1;0;17;31;3;0;131;0;0;0;0;1;0;0;0;1;3;491
"120070";"XAPURI";0;0;0;6;75;0;6;8;45;0;0;1;0;0;1;5;6;0;0;30;0;0;0;0;0;0;0;0;0;0;183
"120080";"PORTO ACRE";1;0;0;0;36;2;4;3;36;0;0;1;3;0;0;5;11;0;0;23;0;0;0;2;0;0;0;0;0;0;127
"130002";"ALVARAES";0;0;0;2;109;0;3;23;60;0;0;0;0;0;0;3;4;1;0;24;0;0;0;1;0;0;0;0;0;0;230
"130006";"AMATURA";0;0;0;1;67;1;1;2;24;0;0;0;0;0;0;4;0;1;0;6;0;0;0;1;0;0;0;0;0;0;108
"130008";"ANAMA";0;0;0;0;10;0;0;1;3;0;0;0;0;0;0;1;1;0;0;3;0;0;0;1;0;0;0;0;0;0;20
"130010";"ANORI";0;0;0;1;105;1;3;4;33;0;0;0;1;0;1;4;2;0;0;17;0;0;0;0;1;0;0;0;0;0;173
"130014";"APUI";0;0;0;0;111;0;3;17;50;4;0;0;1;0;1;10;10;4;3;32;0;6;0;0;0;0;0;0;0;0;252
"130020";"ATALAIA DO NORTE";0;0;0;0;64;1;1;4;29;0;0;0;0;0;0;8;1;1;0;6;0;0;0;0;1;0;0;0;0;0;116
"130030";"AUTAZES";0;0;0;3;94;0;13;6;132;0;0;0;0;0;0;12;4;4;1;43;0;1;0;3;1;0;0;0;0;0;317
"130040";"BARCELOS";0;0;0;0;40;3;0;9;12;0;0;1;0;0;0;6;2;4;0;13;0;1;0;0;0;0;0;0;0;0;91
"130050";"BARREIRINHA";0;0;0;0;103;3;1;19;87;0;0;0;0;0;1;8;11;5;0;53;1;0;0;2;1;0;0;0;0;0;295
"130060";"BENJAMIN CONSTANT";0;0;0;0;148;0;1;7;103;2;0;0;0;0;0;91;3;4;0;66;0;0;0;2;0;0;0;0;0;0;427
"130063";"BERURI";0;0;0;0;54;0;0;11;48;1;0;0;0;0;0;2;7;0;0;15;0;1;0;0;1;0;0;0;0;0;140
"130068";"BOA VISTA DO RAMOS";0;0;0;0;64;2;3;9;47;1;0;1;0;0;0;15;7;1;0;29;0;1;0;0;0;0;0;0;0;0;180
"130070";"BOCA DO ACRE";0;0;0;1;187;3;4;9;126;1;1;2;0;0;0;6;13;5;0;74;0;0;0;2;0;0;0;0;0;0;434
"130080";"BORBA";0;0;0;7;245;0;5;36;103;0;0;0;0;0;1;5;6;0;0;40;0;0;0;4;1;0;0;0;0;0;453
"130083";"CAAPIRANGA";0;0;0;0;112;0;0;16;21;0;0;0;0;0;0;8;7;0;0;36;0;0;0;0;0;0;0;0;0;0;200
"130090";"CANUTAMA";0;0;0;1;59;0;1;4;19;0;0;0;1;0;0;0;2;3;0;18;0;0;0;1;0;0;0;0;0;0;109
"130100";"CARAUARI";0;0;0;0;89;3;2;5;98;3;0;0;0;0;0;22;7;18;0;57;1;1;0;2;1;0;0;0;0;0;309
"130110";"CAREIRO";0;0;0;5;132;3;0;5;49;0;0;0;0;0;3;13;9;1;1;36;0;0;0;3;0;0;0;0;0;0;260
"130115";"CAREIRO DA VARZEA";0;0;0;0;20;1;1;6;6;0;0;0;0;0;1;6;0;1;0;3;0;3;0;2;1;0;0;0;0;0;51
"130120";"COARI";0;0;0;0;419;3;27;36;284;1;0;1;0;0;1;35;28;20;0;175;3;3;0;3;2;0;0;0;0;0;1041
"130130";"CODAJAS";0;0;0;0;147;6;1;6;65;0;0;1;0;0;3;16;1;3;0;33;1;2;0;1;0;0;0;0;0;0;286
"130140";"EIRUNEPE";0;0;0;1;34;3;0;5;47;0;0;0;0;1;2;3;1;2;0;27;0;1;0;0;1;0;0;0;0;0;128
"130150";"ENVIRA";0;0;0;0;67;1;0;0;29;0;0;0;0;0;1;1;0;0;0;43;0;0;0;1;0;0;0;0;0;0;143
"130160";"FONTE BOA";0;0;0;2;104;0;5;1;109;0;0;1;0;0;1;10;3;0;0;45;0;0;0;1;0;0;0;0;0;0;282
"130165";"GUAJARA";0;0;0;7;71;0;1;3;32;0;0;0;2;3;0;3;13;0;0;30;1;0;0;1;2;0;0;0;0;0;169
"130170";"HUMAITA";0;0;0;1;169;4;5;29;139;1;0;1;0;0;3;25;13;10;0;127;0;0;0;8;2;0;0;0;0;0;537
"130180";"IPIXUNA";0;0;0;1;125;0;9;8;46;8;0;2;1;0;0;21;2;7;1;28;0;0;0;1;0;0;0;0;0;0;260
"130185";"IRANDUBA";0;0;0;7;205;3;4;10;54;1;0;0;2;0;3;25;13;7;0;28;1;6;0;7;3;0;0;1;0;0;380
"130190";"ITACOATIARA";0;0;0;7;475;1;11;30;287;1;0;4;2;0;2;38;27;20;0;157;4;2;0;4;8;0;0;0;0;0;1080
"130195";"ITAMARATI";0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;7
"130200";"ITAPIRANGA";0;0;0;1;14;1;2;1;31;0;0;0;0;0;2;7;1;1;0;14;0;2;0;2;0;0;0;0;0;0;79
"130210";"JAPURA";0;0;0;0;38;0;0;5;30;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;76
"130220";"JURUA";0;0;0;0;22;0;3;2;15;0;0;0;0;0;0;4;0;0;0;14;0;0;0;1;0;0;0;0;0;0;61
"130230";"JUTAI";0;0;0;0;5;2;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
"130240";"LABREA";0;0;0;2;119;7;5;13;123;2;0;1;0;0;1;27;5;8;0;67;0;0;0;8;1;0;0;0;0;0;389
"130250";"MANACAPURU";0;1;0;18;417;4;3;19;270;0;0;5;2;0;4;38;22;8;1;188;1;4;0;12;7;0;0;0;0;6;1030
"130255";"MANAQUIRI";0;0;0;2;126;0;2;0;30;0;0;0;0;0;0;4;0;0;0;3;0;1;0;0;2;0;0;0;0;0;170
"130260";"MANAUS";2;1;0;592;11167;446;233;432;4663;19;4;126;74;62;247;1159;752;435;41;3900;100;182;0;672;227;0;13;17;8;70;25644
"130270";"MANICORE";0;0;0;1;123;3;1;52;153;9;0;1;1;0;1;20;22;4;0;77;0;1;0;3;1;0;0;0;0;0;473
"130280";"MARAA";0;0;0;2;16;1;1;2;9;0;0;0;1;0;0;3;0;0;0;7;0;1;0;2;0;0;0;0;0;0;45
"130290";"MAUES";0;0;0;0;245;3;5;37;170;18;0;0;2;0;1;40;10;17;0;109;5;3;0;1;1;0;0;0;0;0;667
"130300";"NHAMUNDA";0;0;0;1;26;1;0;3;18;0;0;0;0;0;0;1;5;1;0;5;0;0;0;0;0;0;0;0;0;0;61
"130310";"NOVA OLINDA DO NORTE";0;0;0;0;161;4;3;14;100;0;0;1;0;0;0;2;4;1;0;32;0;2;0;2;1;0;0;0;0;0;327
