"Codigo_Municipio";"Municipio";"0201 Coleta de material";"0209 Diagnostico por endoscopia";"0211 Metodos diagnosticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0402 Cirurgia de glandulas endocrinas";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;3;280;11;15;23;14;0;0;0;0;0;3;5;12;3;0;48;1;0;0;17;4;0;0;0;0;1;440
"110002";"ARIQUEMES";1;0;0;13;839;26;37;147;97;5;0;6;7;2;13;44;102;9;0;128;5;8;0;57;10;0;1;0;1;0;1558
"110003";"CABIXI";0;0;0;5;50;2;5;2;1;0;0;2;1;0;0;2;6;0;0;10;0;0;0;2;1;0;0;0;0;1;90
"110004";"CACOAL";0;0;0;21;435;69;35;56;52;2;1;9;3;0;12;37;53;7;0;211;9;1;1;47;12;0;0;0;0;1;1074
"110005";"CEREJEIRAS";0;0;0;14;103;2;5;4;8;0;0;0;1;0;2;2;20;2;1;48;3;0;0;7;5;0;0;0;0;0;227
"110006";"COLORADO DO OESTE";0;0;0;15;100;8;7;3;8;0;0;1;0;0;0;3;12;1;0;22;1;0;0;4;2;0;0;0;0;2;189
"110007";"CORUMBIARA";0;0;0;3;14;0;0;0;0;0;0;1;2;0;0;3;3;0;0;9;0;0;0;2;0;0;0;0;0;0;37
"110008";"COSTA MARQUES";0;0;0;1;74;2;4;6;12;0;0;0;1;0;0;3;1;1;0;19;1;0;0;2;0;0;0;0;0;0;127
"110009";"ESPIGAO D'OESTE";1;0;0;2;238;21;5;59;19;0;0;0;1;0;1;9;18;1;0;22;2;0;0;15;1;0;0;0;0;0;415
"110010";"GUAJARA-MIRIM";1;0;0;9;466;10;10;59;123;1;0;4;0;1;0;30;32;14;0;104;2;2;0;18;3;0;0;0;0;4;893
"110011";"JARU";0;0;0;97;367;32;12;29;52;9;0;1;0;0;5;37;30;27;1;110;2;1;1;12;4;0;0;0;0;1;830
"110012";"JI-PARANA";2;0;0;25;618;43;93;65;158;15;0;7;5;6;14;95;69;49;2;256;4;2;0;41;15;0;2;0;3;6;1595
"110013";"MACHADINHO D'OESTE";0;0;0;1;164;6;41;69;43;0;0;8;0;1;1;11;64;3;0;73;0;0;0;15;3;0;0;0;0;0;503
"110014";"NOVA BRASILANDIA D'OESTE";1;0;0;3;114;11;3;10;1;0;0;0;0;1;1;5;9;0;0;45;1;0;0;7;3;0;0;0;0;0;215
"110015";"OURO PRETO DO OESTE";1;0;0;19;330;10;6;29;26;0;0;2;2;0;3;60;14;50;1;66;4;1;0;18;6;0;0;0;0;0;648
"110018";"PIMENTA BUENO";0;0;0;5;351;14;28;94;25;1;0;1;1;0;3;21;19;3;0;73;3;0;0;18;5;0;0;0;0;0;665
"110020";"PORTO VELHO";4;1;0;82;4090;232;193;733;892;34;0;92;30;11;79;276;663;144;4;860;37;4;0;410;80;0;2;0;5;11;8969
"110025";"PRESIDENTE MEDICI";0;0;0;2;90;11;4;10;10;0;0;0;0;0;2;13;9;6;0;54;0;0;0;3;5;0;0;0;0;0;219
"110026";"RIO CRESPO";0;0;0;12;15;1;1;2;1;0;0;0;1;0;0;2;2;3;0;1;0;0;0;3;2;0;0;0;0;0;46
"110028";"ROLIM DE MOURA";6;0;0;138;387;12;8;40;33;1;2;4;3;0;7;12;37;6;0;210;2;1;0;32;7;0;0;0;1;1;950
"110029";"SANTA LUZIA D'OESTE";0;0;0;3;92;3;2;13;3;0;0;0;1;0;0;2;1;1;0;15;0;0;0;1;1;0;0;0;0;0;138
"110030";"VILHENA";0;0;0;242;889;32;33;19;81;4;2;11;13;0;7;63;183;14;0;320;6;9;0;33;10;0;0;0;0;0;1971
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;12;168;3;6;28;7;0;0;4;1;0;2;8;4;3;1;97;0;1;0;8;5;0;0;0;0;0;358
"110033";"NOVA MAMORE";0;0;0;7;249;9;8;35;44;2;0;1;2;1;1;17;15;3;0;29;1;0;0;11;0;0;0;0;0;0;435
"110034";"ALVORADA D'OESTE";0;0;0;16;71;7;2;4;10;3;0;1;1;0;0;3;2;5;1;6;2;2;0;9;2;0;0;0;0;0;147
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;5;73;8;8;12;4;0;0;0;1;0;3;2;4;1;0;26;1;0;0;4;0;0;0;0;0;0;152
