Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2022;2;20222110001;110001;ALTA FLORESTA D'OESTE;0;0;0;3;465;13;16;18;9;6;2;0;2;1;3;14;17;8;0;58;1;0;0;12;6;0;0;0;2;1
2022;2;20222110002;110002;ARIQUEMES;1;0;0;64;990;34;26;109;113;3;0;3;5;0;11;180;66;85;0;130;9;15;0;50;20;0;1;0;0;5
2022;2;20222110003;110003;CABIXI;0;0;0;4;49;4;2;1;4;0;0;0;0;0;0;4;4;4;0;7;0;0;0;4;1;0;1;0;0;5
2022;2;20222110004;110004;CACOAL;0;0;1;52;838;30;38;58;44;8;10;4;14;0;8;112;97;48;8;126;4;6;0;60;16;0;0;0;1;4
2022;2;20222110005;110005;CEREJEIRAS;0;0;0;9;206;4;7;4;20;0;1;0;2;0;2;18;22;6;0;44;0;0;0;5;4;0;0;0;0;0
2022;2;20222110006;110006;COLORADO DO OESTE;1;0;0;8;163;7;6;9;21;1;0;0;4;0;0;7;28;5;0;21;0;0;0;4;2;0;0;0;0;0
2022;2;20222110007;110007;CORUMBIARA;0;0;0;7;40;0;2;3;3;0;0;0;1;0;0;4;14;1;0;16;0;0;0;0;1;0;0;0;0;0
2022;2;20222110008;110008;COSTA MARQUES;1;0;0;2;103;1;1;8;12;0;1;0;0;0;1;3;17;4;0;24;0;0;0;1;0;0;0;0;0;0
2022;2;20222110009;110009;ESPIGAO D'OESTE;0;0;0;3;452;32;1;33;19;4;0;4;2;0;1;13;24;5;0;41;1;0;0;10;4;0;0;0;0;0
2022;2;20222110010;110010;GUAJARA0MIRIM;0;0;0;24;769;22;15;46;115;1;0;2;1;0;2;49;22;21;2;102;5;0;0;28;4;0;1;0;1;1
2022;2;20222110011;110011;JARU;1;0;0;191;339;30;10;15;57;4;0;4;2;0;4;71;27;57;3;165;1;0;0;14;3;0;1;0;0;0
2022;2;20222110012;110012;JI0PARANA;0;0;0;48;1088;22;73;38;198;3;2;14;11;1;12;334;164;235;4;424;12;2;0;46;16;0;2;0;1;1
2022;2;20222110013;110013;MACHADINHO D'OESTE;0;0;0;39;349;14;32;63;52;0;0;3;4;0;2;28;30;53;0;69;3;1;0;17;2;0;0;0;1;4
2022;2;20222110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;3;257;1;6;7;2;3;1;1;1;0;0;16;3;23;1;53;0;0;0;5;5;0;1;0;0;6
2022;2;20222110015;110015;OURO PRETO DO OESTE;0;0;0;17;434;12;5;23;15;3;0;2;3;2;2;80;22;67;2;87;2;0;0;21;6;0;1;0;1;2
2022;2;20222110018;110018;PIMENTA BUENO;0;0;0;7;747;19;23;113;29;0;0;2;3;1;2;101;29;10;0;96;2;0;0;15;2;0;0;0;0;0
2022;2;20222110020;110020;PORTO VELHO;5;0;0;91;3625;319;176;745;737;24;12;52;25;8;65;409;411;542;10;677;25;6;0;357;72;1;10;0;13;39
2022;2;20222110025;110025;PRESIDENTE MEDICI;0;0;0;8;114;3;8;9;4;2;1;1;1;0;1;13;11;13;0;50;1;0;0;5;2;0;0;0;1;1
2022;2;20222110026;110026;RIO CRESPO;0;0;0;1;9;0;0;6;2;0;1;0;0;0;1;1;4;2;0;1;0;0;0;0;3;0;0;0;0;0
2022;2;20222110028;110028;ROLIM DE MOURA;0;0;0;87;474;16;6;33;20;7;3;2;5;1;11;57;56;34;5;159;1;1;0;35;10;0;2;0;1;8
