Ano;Trimestre;UID;Codigo_Municipio;Municipio;0201 Coleta de material;0209 Diagnostico por endoscopia;0211 Metodos diagnosticos em especialidades;0301 Consultas / Atendimentos / Acompanhamentos;0303 Tratamentos clinicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa;0402 Cirurgia de glandulas endocrinas;0403 Cirurgia do sistema nervoso central e periferico;0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco;0405 Cirurgia do aparelho da visao;0406 Cirurgia do aparelho circulatorio;0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinario;0410 Cirurgia de mama;0411 Cirurgia obstetrica;0412 Cirurgia toracica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante;0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgaos, tecidos e celulas;0506 Acompanhamento e intercorrencias no pre e pos-transplante
2022;3;20223110001;110001;ALTA FLORESTA D'OESTE;1;0;0;2;428;8;16;28;10;3;0;2;4;0;2;21;20;13;1;41;1;0;0;2;5;0;0;0;1;2
2022;3;20223110002;110002;ARIQUEMES;1;0;1;69;841;25;28;100;94;11;5;16;13;1;10;177;69;89;1;141;12;13;0;66;14;0;0;0;2;12
2022;3;20223110003;110003;CABIXI;0;0;0;2;58;0;6;2;5;1;0;0;0;0;0;4;7;2;0;4;1;0;0;4;4;0;0;0;0;6
2022;3;20223110004;110004;CACOAL;0;0;0;53;807;71;25;82;60;5;3;7;10;0;6;125;89;67;2;206;6;2;1;58;15;1;1;0;2;3
2022;3;20223110005;110005;CEREJEIRAS;0;0;0;12;241;5;19;11;14;0;2;0;1;0;2;28;28;9;0;47;1;0;0;5;2;0;0;0;0;0
2022;3;20223110006;110006;COLORADO DO OESTE;0;0;0;25;158;6;4;2;9;2;2;1;3;0;1;7;28;2;0;15;0;0;0;7;1;0;0;0;0;0
2022;3;20223110007;110007;CORUMBIARA;1;0;0;4;31;0;3;2;3;0;0;0;2;1;1;3;13;1;0;15;1;0;0;0;0;0;0;0;0;0
2022;3;20223110008;110008;COSTA MARQUES;0;0;0;0;91;1;1;6;8;0;1;0;0;0;1;8;9;2;0;19;1;0;0;4;1;0;1;0;0;0
2022;3;20223110009;110009;ESPIGAO D'OESTE;0;0;0;10;384;18;6;75;11;2;1;2;0;0;0;26;14;8;3;33;2;2;0;12;4;0;1;0;0;0
2022;3;20223110010;110010;GUAJARA0MIRIM;0;0;0;24;652;19;20;47;78;0;0;5;0;1;1;45;29;28;1;112;1;0;0;19;4;0;2;0;0;2
2022;3;20223110011;110011;JARU;0;0;0;161;293;25;15;10;48;3;2;4;3;0;8;89;29;71;2;155;3;0;0;23;16;0;0;0;1;0
2022;3;20223110012;110012;JI0PARANA;1;0;0;25;1183;34;94;68;130;9;4;9;18;0;13;251;133;209;2;304;27;8;1;65;19;0;3;0;1;2
2022;3;20223110013;110013;MACHADINHO D'OESTE;1;0;0;37;331;17;21;37;41;2;0;5;6;1;2;31;22;50;0;75;6;0;0;23;5;0;0;0;0;2
2022;3;20223110014;110014;NOVA BRASILANDIA D'OESTE;0;0;0;6;213;3;8;15;2;2;3;0;2;1;2;27;10;29;0;39;1;0;0;6;1;0;0;0;0;8
2022;3;20223110015;110015;OURO PRETO DO OESTE;0;0;0;9;308;13;11;24;17;7;0;2;4;0;6;85;22;67;0;92;2;0;0;9;5;0;0;0;4;1
2022;3;20223110018;110018;PIMENTA BUENO;0;0;0;13;626;16;22;123;15;4;4;0;1;0;3;136;30;26;1;87;1;0;0;8;7;0;0;0;0;0
2022;3;20223110020;110020;PORTO VELHO;6;1;2;109;3595;254;202;617;585;29;7;60;49;8;73;349;442;609;16;590;16;10;2;394;79;0;14;0;13;34
2022;3;20223110025;110025;PRESIDENTE MEDICI;0;0;0;8;94;2;6;2;7;3;0;0;0;0;2;23;5;17;0;52;0;0;0;8;2;0;0;0;0;5
2022;3;20223110026;110026;RIO CRESPO;0;0;0;1;6;2;1;1;2;1;0;0;0;0;2;2;5;1;0;1;0;0;0;2;1;0;0;0;0;0
2022;3;20223110028;110028;ROLIM DE MOURA;2;0;0;92;375;18;10;47;21;3;1;1;2;0;3;53;46;28;0;149;1;2;0;32;6;0;0;0;0;7
2022;3;20223110029;110029;SANTA LUZIA D'OESTE;0;0;0;3;169;1;4;13;0;1;0;1;0;0;0;9;6;3;0;17;0;0;0;7;2;0;0;0;0;0
2022;3;20223110030;110030;VILHENA;0;0;1;117;640;41;32;32;157;8;4;7;13;1;6;153;195;106;8;187;15;1;1;23;7;0;1;0;2;1
2022;3;20223110032;110032;SAO MIGUEL DO GUAPORE;0;0;0;10;214;7;4;9;7;1;0;1;1;0;0;14;11;21;0;74;0;0;1;5;2;0;0;0;0;0
2022;3;20223110033;110033;NOVA MAMORE;0;0;0;4;280;5;6;32;33;3;0;3;2;0;0;22;26;38;1;39;0;0;0;8;5;0;1;0;0;0
2022;3;20223110034;110034;ALVORADA D'OESTE;0;0;0;25;145;5;4;3;1;0;0;1;2;0;2;22;7;21;0;23;1;0;0;6;2;0;1;0;0;0
2022;3;20223110037;110037;ALTO ALEGRE DOS PARECIS;0;0;0;3;161;9;12;10;4;3;0;1;0;0;1;8;8;4;1;29;0;0;0;6;2;0;0;0;1;0
2022;3;20223110040;110040;ALTO PARAISO;0;0;0;11;84;3;5;29;14;2;0;0;0;0;5;5;12;3;0;3;2;1;0;8;2;0;1;0;0;2
2022;3;20223110045;110045;BURITIS;0;0;0;4;265;13;15;35;27;2;0;6;8;1;2;39;26;8;2;14;2;1;0;19;2;0;0;0;1;0
2022;3;20223110050;110050;NOVO HORIZONTE DO OESTE;0;0;0;6;125;1;3;7;3;2;0;1;1;0;0;8;7;7;0;14;0;0;0;3;1;0;1;0;0;0
2022;3;20223110060;110060;CACAULANDIA;0;0;0;1;39;0;1;2;2;1;0;0;0;0;0;3;2;3;0;6;2;0;0;2;0;0;0;0;0;0
2022;3;20223110070;110070;CAMPO NOVO DE RONDONIA;0;0;0;1;70;1;6;6;9;0;0;1;0;0;1;4;3;5;0;4;1;1;0;2;3;0;0;0;0;0
2022;3;20223110080;110080;CANDEIAS DO JAMARI;0;0;0;3;145;9;7;27;23;2;0;2;3;0;2;11;26;14;1;17;0;0;0;28;5;0;0;0;1;0
2022;3;20223110090;110090;CASTANHEIRAS;0;0;0;1;7;0;0;1;1;0;0;0;0;0;0;4;2;3;0;3;0;0;0;0;1;0;0;0;0;0
2022;3;20223110092;110092;CHUPINGUAIA;0;0;0;8;40;3;0;3;12;0;1;0;0;0;1;9;10;1;0;19;1;0;0;4;2;0;0;0;0;3
2022;3;20223110094;110094;CUJUBIM;0;0;0;18;128;3;3;20;20;1;0;0;0;0;1;11;12;4;0;15;2;0;0;8;1;0;0;0;0;0
2022;3;20223110100;110100;GOVERNADOR JORGE TEIXEIRA;0;0;0;2;35;0;0;1;3;0;0;0;0;0;0;2;3;2;0;5;0;0;0;3;3;0;0;0;0;0
2022;3;20223110110;110110;ITAPUA DO OESTE;0;0;0;2;39;0;5;12;1;0;0;0;0;0;0;3;3;2;0;1;0;0;0;11;0;0;1;0;0;0
2022;3;20223110120;110120;MINISTRO ANDREAZZA;0;0;0;0;79;5;0;1;1;0;0;1;0;0;0;2;1;4;0;6;2;0;0;1;0;0;0;0;0;0
2022;3;20223110130;110130;MIRANTE DA SERRA;0;0;0;2;153;2;4;2;2;0;0;0;0;0;0;9;3;1;0;14;1;0;0;2;1;0;0;0;1;0
2022;3;20223110140;110140;MONTE NEGRO;0;0;0;2;103;2;13;20;16;1;0;0;0;0;1;23;9;5;1;11;0;3;0;7;3;0;0;0;1;0
2022;3;20223110143;110143;NOVA UNIAO;0;0;0;0;37;5;1;0;1;2;0;0;1;0;1;5;3;6;0;12;0;0;0;3;4;0;0;0;0;0
2022;3;20223110145;110145;PARECIS;0;0;0;12;74;0;0;3;3;1;0;0;1;0;0;5;2;1;0;7;0;0;0;1;0;0;0;0;0;0
2022;3;20223110146;110146;PIMENTEIRAS DO OESTE;0;0;0;6;31;1;0;3;3;0;0;2;1;0;0;2;3;1;0;2;0;0;0;0;0;0;0;0;0;0
2022;3;20223110147;110147;PRIMAVERA DE RONDONIA;0;0;0;1;23;1;0;3;0;0;0;1;0;0;1;6;0;4;1;2;0;0;0;4;1;0;0;0;0;0
2022;3;20223110148;110148;SAO FELIPE D'OESTE;0;0;0;1;18;1;1;1;1;0;1;0;0;0;0;7;3;1;0;6;0;0;0;2;1;0;0;0;0;0
2022;3;20223110149;110149;SAO FRANCISCO DO GUAPORE;0;0;0;2;72;2;1;5;6;5;0;0;3;1;2;12;5;7;0;35;2;3;0;5;0;0;0;0;0;1
2022;3;20223110150;110150;SERINGUEIRAS;0;0;0;1;102;6;1;4;5;1;2;3;1;0;1;31;31;29;0;38;1;0;0;6;1;0;0;0;1;0
2022;3;20223110155;110155;TEIXEIROPOLIS;0;0;0;0;9;0;1;0;1;1;0;0;0;0;0;3;0;4;0;7;0;0;0;0;0;0;0;0;0;0
2022;3;20223110160;110160;THEOBROMA;0;0;0;4;49;2;1;4;2;0;0;0;0;0;0;10;3;2;0;6;0;0;0;5;1;0;0;0;0;0
2022;3;20223110170;110170;URUPA;0;0;0;1;78;4;5;2;3;0;0;1;0;1;0;24;9;8;0;20;1;1;0;7;0;0;0;0;0;1
