"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;2,0;3,1;5,4;3,6;3,1;1,8;1,2;2,0;0;8,0;0;4,7;2,9;5,3;2,8;0;2,4;0;0;0;6,4;2,8;0;0;0;5,5;11,0;3,2
"110002";"ARIQUEMES";0;0;0;0,6;4,2;7,2;4,5;3,5;1,4;0,7;0;11,0;6,4;0;1,8;2,0;7,3;2,4;0;2,0;3,3;3,7;0;4,1;2,9;0;0;0;0;12,0;3,6
"110003";"CABIXI";0;0;0;2,3;4,0;10,0;1,0;8,0;2,3;0;0;0;0;0;0;4,5;1,5;1,5;0;1,7;0;0;0;1,3;2,0;0;1,0;0;0;13,8;4,1
"110004";"CACOAL";0;0;7,0;1,8;4,3;6,2;5,2;5,1;2,6;1,6;8,3;11,0;3,6;0;7,1;4,0;4,3;2,6;3,4;2,6;4,8;6,2;0;6,3;5,7;0;0;0;17,0;21,5;4,2
"110005";"CEREJEIRAS";0;0;0;3,0;4,7;22,3;2,3;4,5;1,6;0;2,0;0;3,0;0;12,0;6,9;9,5;2,0;0;1,8;0;0;0;3,6;3,0;0;0;0;0;0;4,6
"110006";"COLORADO DO OESTE";1,0;0;0;2,4;5,9;4,7;3,7;5,4;1,4;2,0;0;0;1,3;0;0;7,3;5,2;4,8;0;2,6;0;0;0;8,5;2,5;0;0;0;0;0;5,0
"110007";"CORUMBIARA";0;0;0;3,0;7,7;0;3,5;11,3;2,0;0;0;0;5,0;0;0;2,5;3,9;7,0;0;2,8;0;0;0;0;1,0;0;0;0;0;0;5,4
"110008";"COSTA MARQUES";0;0;0;0,5;3,8;3,0;2,0;2,8;1,2;0;2,0;0;0;0;1,0;1,3;4,1;2,0;0;2,9;0;0;0;7,0;0;0;0;0;0;0;3,3
"110009";"ESPIGAO D'OESTE";0;0;0;5,0;3,8;5,1;1,0;2,6;2,1;1,0;0;9,8;8,5;0;23,0;2,9;4,4;1,6;0;2,1;31,0;0;0;8,4;4,8;0;0;0;0;0;3,8
"110010";"GUAJARA-MIRIM";0;0;0;2,8;4,7;8,5;5,3;5,5;1,6;4,0;0;15,0;4,0;0;1,0;3,8;4,3;3,6;2,0;2,4;2,2;0;0;13,0;5,0;0;0;0;10,0;7,0;4,4
