"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";44,0;0;0;0,9;3,9;4,4;2,7;5,8;1,7;0;1,0;4,7;13,0;0;3,5;2,1;10,7;1,8;2,0;2,4;2,0;10,5;0;10,6;4,3;0;2,5;0;13,3;29,0;3,6
"110002";"ARIQUEMES";0;0;0;1,5;4,7;5,3;4,8;3,4;1,5;0;1,0;2,0;4,6;0;2,3;1,4;7,3;1,7;0;2,1;6,7;0,6;0;4,8;1,7;0;0;0;0;11,3;3,7
"110003";"CABIXI";0;0;0;1,5;4,3;7,5;2,7;5,0;1,2;0;0;0;0;0;0;3,0;1,5;2,0;0;1,7;0;0;0;5,0;0;0;0;0;0;10,0;3,9
"110004";"CACOAL";0;0;0;2,0;5,7;6,8;7,3;6,1;1,8;2,2;4,2;11,3;4,3;2,0;3,4;2,9;6,7;2,0;1,0;2,2;6,1;11,0;1,0;7,0;3,3;0;0;0;12,6;14,2;5,2
"110005";"CEREJEIRAS";0;0;0;3,9;4,9;3,0;4,3;5,1;1,4;0;1,0;16,5;4,0;0;0;5,6;4,2;2,4;0;2,8;8,0;0;0;15,0;3,0;0;0;0;0;0;4,6
"110006";"COLORADO DO OESTE";0;0;0;3,4;5,0;5,6;4,4;3,0;1,3;0;1,5;14,8;8,0;0;2,0;2,4;5,3;9,0;0;1,2;8,0;0;0;9,6;2,0;0;0;0;0;0;4,7
"110007";"CORUMBIARA";0;0;0;3,6;8,0;10,0;4,0;1,0;1,3;0;0;8,0;4,0;0;0;5,3;3,8;0;0;2,0;0;0;0;2,5;2,0;0;0;0;0;0;5,4
"110008";"COSTA MARQUES";0;0;0;0;4,7;1,0;2,4;1,8;1,4;0;0;0;0;0;1,0;2,8;7,4;1,4;0;1,9;14,0;0;0;4,0;0;0;0;0;0;0;3,7
"110009";"ESPIGAO D'OESTE";0;0;0;1,4;4,4;3,5;2,3;6,6;1,8;14,7;0;3,5;9,0;0;0;2,6;4,9;2,6;0;2,3;5,8;4,0;0;5,5;2,0;0;0;0;1,5;0;4,4
"110010";"GUAJARA-MIRIM";0;0;0;2,2;4,3;11,5;4,7;5,2;1,4;0,5;2,0;16,9;10,8;0;2,0;4,1;9,2;4,7;0;2,2;0;0;0;5,5;14,0;0;1,3;0;4,5;8,0;4,2
