"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110028";"ROLIM DE MOURA";0,2;0;0;1,1;3,9;6,5;2,9;3,5;1,9;0;2,5;6,0;20,3;0;8,1;5,8;4,7;1,2;0;2,3;7,5;2,0;0;6,9;4,3;0;0;8,0;11,0;3,3
"110029";"SANTA LUZIA D'OESTE";0;0;0;1,0;4,3;6,3;2,0;3,9;1,7;0;0;0;1,0;0;0;4,5;5,0;1,0;0;2,1;0;0;0;2,0;1,0;0;0;0;0;3,8
"110030";"VILHENA";0;0;0;2,0;4,9;4,6;4,6;4,7;1,5;0,5;1,0;9,7;13,8;0;1,6;3,6;5,3;4,8;0;1,7;9,8;4,1;0;4,5;1,8;0;0;0;0;3,9
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;2,1;4,4;2,7;1,3;3,2;1,0;0;0;19,3;2,0;0;1,5;1,9;5,5;0;2,0;1,2;0;4,0;0;6,1;0,8;0;0;0;0;3,3
"110033";"NOVA MAMORE";0;0;0;1,6;5,5;6,9;3,1;6,6;1,5;4,0;0;19,0;16,0;3,0;34,0;6,2;2,4;0;0;2,5;2,0;0;0;6,2;0;0;0;0;0;4,9
"110034";"ALVORADA D'OESTE";0;0;0;1,1;6,2;5,0;15,0;1,8;1,7;4,3;0;0;5,0;0;0;4,0;2,0;3,6;2,0;4,3;7,5;5,5;0;4,6;4,0;0;0;0;0;4,8
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;2,4;4,5;5,3;2,3;3,9;1,5;0;0;0;0;0;2,7;13,0;1,5;1,0;0;2,0;11,0;0;0;6,0;0;0;0;0;0;3,9
"110040";"ALTO PARAISO";0;0;0;1,3;6,1;3,9;3,5;4,1;3,3;0;0;7,0;0;0;0;2,0;8,8;1,3;0;1,8;0;0;0;3,0;2,5;0;0;0;0;5,1
"110045";"BURITIS";0;0;0;1,0;4,6;3,1;2,6;5,4;1,3;0;0;7,1;21,0;0;7,5;4,8;4,4;7,4;0;2,1;0;2,7;0;8,6;1,0;0;0;0;0;4,6
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;1,0;6,2;5,6;6,2;6,2;2,0;0;0;2,0;0;0;0;2,3;5,0;9,0;0;2,1;11,0;0;0;7,0;2,0;0;0;0;0;4,9
"110060";"CACAULANDIA";0;0;0;0;6,0;3,7;14,5;4,7;1,4;0;0;0;0;0;0;0;5,0;0;0;1,8;0;0;0;3,7;0;0;0;0;0;4,9
"110070";"CAMPO NOVO DE RONDONIA";0;0;0;0;4,6;1,0;1,6;2,4;1,3;0;0;0;0;0;0;2,0;7,4;0;0;2,0;0;0;0;0,8;1,0;0;0;0;0;3,7
"110080";"CANDEIAS DO JAMARI";0;0;0;0;8,0;4,7;3,6;4,8;2,2;2,0;0;9,9;58,0;0;0;4,1;2,1;4,9;0;2,7;4,0;0;0;5,7;1,3;0;0;0;14,4;5,8
"110090";"CASTANHEIRAS";0;0;0;1,0;7,9;0;0;0;0;0;0;0;0;0;6,0;0;2,5;1,0;0;4,4;0;0;0;0;2,0;0;0;0;0;4,8
"110092";"CHUPINGUAIA";0;0;0;3,1;3,6;2,0;3,0;1,5;1,2;0;0;7,7;3,7;0;3,0;1,0;4,6;0;0;2,5;0;0;0;7,3;3,0;0;0;0;29,0;4,3
"110094";"CUJUBIM";0;0;0;0,1;3,4;4,3;0;3,9;1,5;0;0;10,3;8,3;0;0;2,7;2,6;3,0;0;1,5;5,0;0;0;8,3;2,0;0;0;0;0;3,2
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;0;6,1;5,0;11,0;8,6;1,4;0;0;0;0;0;0;3,5;3,3;0,5;0;1,8;0;2,0;0;6,7;12,5;0;0;0;0;4,6
"110110";"ITAPUA DO OESTE";0;0;0;0;6,5;4,7;6,0;3,6;2,1;10,0;0;0;0;0;4,0;8,7;4,8;0;0;3,7;0;0;0;8,3;0;0;0;0;0;5,5
"110120";"MINISTRO ANDREAZZA";0;0;0;0,5;7,8;5,1;8,5;3,5;2,0;0;0;28,0;0;0;0;14,0;4,3;4,0;0;2,2;0;0;0;7,8;1,0;0;0;0;0;6,7
"110130";"MIRANTE DA SERRA";1,0;0;0;2,0;5,7;3,3;3,3;17,5;1,3;1,0;0;0;0;0;0;1,2;4,0;0;0;2,2;0;0;0;3,7;0;0;0;0;0;4,6
"110140";"MONTE NEGRO";0;0;0;1,0;5,0;7,3;3,3;2,5;1,4;0;0;6,5;0;0;6,0;2,5;3,3;0;0;1,8;5,7;2,0;0;2,8;0,4;0;0;0;0;3,9
"110143";"NOVA UNIAO";0;0;0;0;3,2;5,8;0;3,0;1,0;0;0;0;0;0;3,0;1,0;2,0;0;0;1,4;0;0;0;11,3;1,5;0;0;0;0;3,3
"110145";"PARECIS";0;0;0;1,0;2,3;0;0;5,3;1,0;0;0;2,0;0;0;2,0;0;1,5;0;0;2,6;5,0;0;0;15,0;0;0;0;0;0;1,8
"110146";"PIMENTEIRAS DO OESTE";0;0;0;1,0;3,0;4,0;0;0;2,0;0;0;0;0;0;0;3,0;0;0;0;1,7;0;0;0;0;0;0;0;0;0;2,7
"110147";"PRIMAVERA DE RONDONIA";0;0;0;0;1,9;0;5,5;1,7;2,0;0;0;5,0;5,0;0;0;2,5;0;2,0;0;2,2;0;0;0;3,5;4,5;0;0;0;0;2,6
"110148";"SAO FELIPE D'OESTE";0;0;0;0;4,8;0;5,5;0;2,0;0;0;0;0;0;0;2,0;2,0;0;0;2,3;0;0;0;0;0;0;0;0;0;3,3
"110149";"SAO FRANCISCO DO GUAPORE";0;0;0;2,0;5,3;6,8;7,3;1,4;1,4;0;0;21,0;9,0;0;0;3,2;4,7;0,5;0;2,0;19,0;7,0;0;5,9;2,8;0;0;0;7,0;4,3
"110150";"SERINGUEIRAS";0;0;0;0,7;3,9;4,0;2,9;6,4;1,5;0;0;0;0;0;0;0;2,4;1,6;0;1,9;8,0;0;0;7,6;3,0;0;0;0;0;2,9
"110155";"TEIXEIROPOLIS";0;0;0;0;4,6;0;3,0;0;1,0;0;0;14,0;0;0;13,0;0;5,0;2,0;0;2,0;0;0;0;0;0;0;0;0;0;4,5
"110160";"THEOBROMA";0;0;0;0,5;4,8;6,3;11,0;2,5;1,0;0;0;0;0;0;0;2,5;14,0;0;0;1,6;0;0;0;6,0;11,5;0;0;0;0;3,9
"110170";"URUPA";0;0;0;1,0;4,8;2,1;6,3;2,0;1,2;4,0;0;1,0;7,0;0;0;1,8;5,0;1,0;0;1,7;0;0;0;2,5;3,0;0;0;0;0;3,1
"110175";"VALE DO ANARI";0;0;0;0;7,2;7,0;0;2,0;1,4;7,0;0;0;0;0;0;4,5;2,7;0;0;1,4;3,0;0;0;12,0;0;0;0;0;0;4,4
"110180";"VALE DO PARAISO";0;0;0;1,0;4,5;3,0;3,7;0;1,2;0;0;18,0;0;0;0;1,3;4,5;0,8;0;1,4;0;0;0;2,0;1,0;0;0;0;0;3,3
"120001";"ACRELANDIA";1,0;0;0;1,0;5,5;8,3;4,0;3,8;1,8;0;0;10,7;2,0;0;0;2,3;1,5;4,0;0;2,4;10,0;0;0;13,0;4,5;0;0;0;0;4,2
"120005";"ASSIS BRASIL";0;0;0;1,1;5,5;4,5;0;3,7;1,5;0;0;0;0;0;0;2,3;1,6;1,0;0;2,4;0;0;0;0;0;0;0;0;0;3,4
"120010";"BRASILEIA";0;0;0;2,0;5,1;3,8;6,5;6,2;1,6;0;0;5,5;2,0;0;4,7;3,2;4,5;3,0;0;2,4;0;6,0;0;4,8;1,5;0;0;0;3,0;3,6
"120013";"BUJARI";1,0;0;0;1,0;9,3;6,0;4,0;6,0;1,3;0;0;0;0;0;0;3,9;1,0;1,8;0;2,8;0;0;0;8,0;0;0;0;0;0;4,3
"120017";"CAPIXABA";0;0;0;1,0;11,1;0;0;6,0;1,9;0;0;0;0;0;0;2,3;3,4;0;0;1,8;0;2,0;0;0;5,0;0;0;0;0;5,2
"120020";"CRUZEIRO DO SUL";0;0;0;3,0;6,7;11,4;5,3;3,4;1,8;1,7;0;5,9;7,0;0;17,3;3,4;2,1;2,8;1,0;2,7;6,6;3,0;0;6,3;6,5;0;0;0;0;4,4
"120025";"EPITACIOLANDIA";2,0;0;0;1,9;4,7;6,0;5,3;7,3;1,6;2,0;0;0;1,0;0;16,0;3,0;2,6;4,0;0;2,3;38,5;0;0;14,0;1,5;0;0;0;0;3,6
"120030";"FEIJO";1,0;0;0;19,0;12,9;4,0;2,0;3,0;1,7;0;3,0;18,0;2,0;3,2;22,0;4,9;2,4;8,0;0;2,7;6,0;6,0;0;0;17,5;0;0;0;0;7,8
"120032";"JORDAO";0;0;0;1,0;8,6;5,0;6,5;10,0;1,5;0;2,0;7,0;0;0;0;3,0;2,7;0;0;2,0;0;0;0;0;0;0;0;0;0;4,1
"120033";"MANCIO LIMA";0;0;0;1,7;8,0;5,0;2,8;2,0;1,7;0;0;0;0;2,5;2,0;2,4;3,4;28,0;0;2,5;0;0;0;4,0;0;0;0;0;0;4,5
"120034";"MANOEL URBANO";0;0;0;0,9;11,8;0;0;5,4;1,4;1,0;0;0;0;0;0;1,5;3,0;1,3;1,0;2,7;0;0;0;0;0;0;0;0;0;4,2
"120035";"MARECHAL THAUMATURGO";0;0;0;1,4;7,6;34,0;0;2,3;1,2;0;0;0;0;0;0;4,2;5,8;4,0;0;2,7;0;6,0;0;0;0;0;0;21,0;10,0;3,8
"120038";"PLACIDO DE CASTRO";4,5;0;0;0,3;8,0;0;14,8;6,7;1,7;0;0;33,0;0;0;0;7,5;4,4;1,3;0;2,8;0;0;0;2,3;0;0;0;0;0;4,5
