"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;1,0;3,4;5,5;4,0;4,2;1,5;0;0;0;0;0;3,0;3,9;4,8;0;0;2,1;4,5;0;0;11,9;2,0;0;0;0;0;0;3,5
"110002";"ARIQUEMES";0;0;0;0,4;4,3;4,9;3,5;3,9;1,7;4,0;0;9,9;0,2;67,0;4,0;3,9;4,2;2,0;1,0;1,8;5,2;1,6;0;6,7;2,7;0;0;0;2,0;8,0;3,8
"110003";"CABIXI";0;0;0;2,0;3,4;3,0;2,0;5,5;2,7;0;0;0;0;0;0;6,5;3,0;2,5;0;1,6;0;0;0;1,0;0;0;0;0;0;0;3,1
"110004";"CACOAL";10,0;0;0;1,5;5,6;4,4;5,6;3,9;2,0;5,0;1,0;10,3;4,3;1,0;0,2;5,6;7,5;4,5;2,0;2,5;9,7;5,4;0;11,5;4,7;0;3,0;0;10,5;19,3;5,0
"110005";"CEREJEIRAS";0;0;0;1,4;4,6;2,5;3,2;6,5;1,7;1,5;0;14,0;5,0;0;0;4,2;6,6;8,5;0;2,3;19,5;0;0;2,3;3,5;0;0;0;0;0;4,3
"110006";"COLORADO DO OESTE";0;0;0;1,6;5,5;2,5;2,8;4,6;1,3;0;0;0;0;0;15,5;2,3;5,3;1,6;0;1,3;6,0;0;0;4,3;3,5;0;0;0;0;14,8;4,7
"110007";"CORUMBIARA";0;0;0;1,6;3,3;10,5;1,0;2,3;1,0;0;0;0;0;0;14,0;1,0;4,5;3,0;0;1,5;8,5;0;0;3,5;0;0;0;0;0;0;3,0
"110008";"COSTA MARQUES";0;0;0;0;6,2;4,0;0;7,6;2,5;0;0;0;0;0;0;2,7;1,9;0;0;3,8;11,0;0;0;4,0;0;0;0;0;28,0;4,0;5,3
"110009";"ESPIGAO D'OESTE";0;0;0;1,6;3,5;4,0;9,3;1,8;2,4;8,7;0;0;3,0;0;16,0;2,5;3,9;2,6;0;2,3;13,0;0;0;7,8;3,7;0;0;0;0;0;3,4
"110010";"GUAJARA-MIRIM";0;0;0;2,3;4,7;3,2;2,9;5,3;1,6;0;0;2,2;0;0;0;2,7;5,5;3,7;3,0;2,8;4,5;0;0;3,6;2,1;0;0;0;7,0;0;3,9
"110011";"JARU";0;0;0;1,0;5,3;4,1;2,4;4,0;1,5;0,3;0;3,0;6,0;1,0;0;1,9;5,2;1,1;0;1,9;9,0;8,0;0;8,4;0;0;0;0;0;0;3,4
"110012";"JI-PARANA";0;0;0;1,5;4,8;3,9;4,4;5,1;1,7;4,5;0;18,0;4,3;1,3;7,6;2,7;6,6;2,2;0;2,2;6,0;1,0;0;5,5;2,2;0;0;0;0;0,4;3,9
"110013";"MACHADINHO D'OESTE";0;0;0;0,8;4,2;8,8;3,6;3,8;1,1;0;0;6,5;0;0;10,0;2,5;5,4;2,3;0;2,0;9,0;0;0;5,3;3,2;0;0;0;2,0;0;3,8
"110014";"NOVA BRASILANDIA D'OESTE";0;0;8,0;1,0;5,3;24,0;1,8;6,8;0,5;0;0;14,0;0;1,0;0;3,2;5,1;2,0;0;1,1;0;0;0;10,0;0;0;0;0;0;0;4,5
"110015";"OURO PRETO DO OESTE";0,5;0;17,0;0,7;3,8;6,0;7,2;2,4;2,3;5,0;0;15,0;0;0,5;28,0;1,4;5,3;1,1;0;4,1;0;0;0;4,3;2,3;0;0;0;0;0;3,5
"110018";"PIMENTA BUENO";0;0;0;1,0;2,6;2,7;2,0;2,0;1,8;0;0;0,3;2,7;0;3,0;2,9;3,9;3,7;0;2,1;0;3,0;0;9,3;1,5;0;0;0;0;0;2,7
"110020";"PORTO VELHO";23,0;0;5,0;3,8;7,8;7,0;5,2;4,7;2,1;3,7;3,2;7,1;8,0;7,0;7,1;3,9;4,4;3,0;2,7;2,5;6,4;0,3;2,0;6,5;3,4;2,0;0,1;0;8,7;9,8;5,5
"110025";"PRESIDENTE MEDICI";0;0;0;1,7;4,9;2,5;4,5;5,3;1,5;0;0;19,0;0;0;0;3,2;5,3;2,1;0;2,0;0;0;0;4,5;1,3;0;0;0;0;0;3,8
"110026";"RIO CRESPO";0;0;0;0,9;3,8;0;0;2,6;1,4;0;0;0;0;0;0;33,0;5,3;2,0;0;1,5;0;0;0;0;0;0;0;0;0;0;4,0
"110028";"ROLIM DE MOURA";0;0;0;1,0;3,6;5,6;2,5;3,4;2,2;1,0;1,0;6,0;4,0;1,5;0,5;2,5;5,3;5,0;0;2,2;4,0;0;0;11,6;0,3;0;0;0;11,5;0;3,1
"110029";"SANTA LUZIA D'OESTE";2,0;0;0;1,7;3,4;0;8,5;5,8;2,0;0;0;0;0;0;0;3,0;3,6;0;0;2,0;0;0;0;5,5;0;0;0;0;0;0;3,5
"110030";"VILHENA";0;0;0;1,3;5,0;6,4;3,7;5,5;1,4;0;1,0;11,3;8,9;0;13,0;6,0;5,0;3,7;9,0;1,9;6,3;8,2;7,0;6,5;2,7;0;0;0;2,0;0;4,1
"110032";"SAO MIGUEL DO GUAPORE";1,0;0;0;1,5;2,9;4,8;1,3;1,6;1,1;4,0;0;0;0;0;12,0;1,9;1,3;0,9;0,8;1,3;8,0;4,5;0;4,3;0;0;0;0;0;0;2,1
"110033";"NOVA MAMORE";0;0;0;2,3;5,7;5,3;4,2;3,6;1,3;7,0;0;9,3;3,0;0;5,3;5,8;5,8;1,5;0;2,4;16,5;0;0;5,3;2,0;0;0;0;0;0;4,9
"110034";"ALVORADA D'OESTE";1,0;0;0;1,7;5,1;0;3,0;7,3;1,3;0;1,0;0;6,0;0;0;2,2;2,3;2,3;0;2,0;27,0;0;0;15,0;2,7;0;0;0;0;0;4,2
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;2,3;3,1;8,3;1,4;5,3;2,3;0;0;0;7,0;0;0;2,3;3,6;0;0;2,1;0;0;0;5,5;2,5;0;0;0;0;0;3,1
"110040";"ALTO PARAISO";0;0;0;1,3;5,2;2,8;2,7;3,5;1,3;9,5;0;3,0;28,0;0;0;1,1;5,2;0;0;2,0;8,5;0;0;4,4;1,0;0;0;0;2,0;0;4,2
"110045";"BURITIS";0;0;0;2,3;4,6;4,0;4,3;5,0;2,8;6,5;0;12,6;9,0;0;44,0;3,2;6,1;17,2;0;1,9;0;5,5;0;5,9;0,8;0;0;0;20,0;6,0;5,0
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;1,5;4,2;2,0;1,0;8,4;0;0;0;0;0;0;0;9,0;5,4;2,0;0;2,2;0;0;0;10,8;3,0;0;0;0;0;0;4,2
"110060";"CACAULANDIA";0;0;0;0;4,0;0;6,5;1,5;2,0;0;0;0;0;0;0;6,8;3,0;0;0;1,3;0;65,0;0;2,0;0;0;0;0;0;0;4,8
"110070";"CAMPO NOVO DE RONDONIA";0;0;0;0,5;4,6;0;4,3;4,9;2,8;0;0;9,3;5,0;0;0;2,5;6,2;5,5;0;2,5;0;0;0;11,8;0;0;0;0;0;0;5,0
"110080";"CANDEIAS DO JAMARI";0;0;0;12,0;7,0;9,8;2,8;3,8;2,1;0;0;14,2;6,5;1,0;6,8;4,1;4,0;3,4;0;3,5;3,5;0;0;8,8;1,5;0;0;0;0;11,5;5,2
"110090";"CASTANHEIRAS";0;0;0;1,0;3,1;0;0;0;0;0;1,0;0;0;0;62,0;3,0;14,0;15,0;0;3,3;22,0;0;0;1,0;0;0;0;0;0;0;5,9
"110092";"CHUPINGUAIA";0;0;0;1,8;3,7;12,5;8,0;5,4;1,0;0;0;1,0;10,0;0;0;3,8;7,1;2,0;0;2,1;0;13,0;0;5,3;1,7;0;0;0;0;29,0;5,3
"110094";"CUJUBIM";0;0;0;0,2;2,2;3,0;1,0;4,2;1,2;22,0;1,0;6,7;9,0;0;21,0;4,9;4,8;2,0;0;1,8;0;0;1,0;5,5;1,0;6,0;0;0;0;0;2,7
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;1,5;8,5;0;2,0;5,0;2,3;0;0;0;0;0;0;2,0;4,6;0,6;0;1,3;0;0;0;0;0;0;0;0;1,0;0;4,6
