"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";13,0;0;0;1,0;3,4;4,3;2,6;3,3;1,9;0,7;0;12,5;11,3;0;0;2,2;5,7;2,3;7,0;2,1;0;0;0;2,5;2,4;0;0;0;4,0;18,5;3,4
"110002";"ARIQUEMES";0;0;5,0;0,5;4,9;7,1;6,1;3,4;1,4;2,1;2,8;6,9;5,8;1,0;2,5;2,2;4,7;1,4;2,0;2,9;8,0;2,3;0;5,5;1,6;0;0;0;6,5;11,0;3,9
"110003";"CABIXI";0;0;0;1,0;4,1;0;3,8;4,0;1,0;0;0;0;0;0;0;2,3;4,1;0;0;2,0;4,0;0;0;3,0;1,5;0;0;0;0;14,0;4,1
"110004";"CACOAL";0;0;0;1,8;4,5;6,8;4,6;5,1;2,2;1,8;2,3;17,0;6,5;0;4,0;3,4;5,7;2,4;1,5;2,4;4,0;4,5;0;5,1;6,5;2,0;9,0;0;1,5;13,0;4,2
"110005";"CEREJEIRAS";0;0;0;2,4;4,4;7,0;3,1;9,8;1,6;0;1,5;0;12,0;0;2,0;2,3;6,3;1,6;0;1,8;10,0;0;0;8,4;2,5;0;0;0;0;0;4,1
"110006";"COLORADO DO OESTE";0;0;0;2,0;5,8;9,0;3,3;30,0;1,9;1,0;1,0;10,0;2,7;0;4,0;6,4;4,7;7,0;0;2,2;0;0;0;7,6;2,0;0;0;0;0;0;5,2
"110007";"CORUMBIARA";1,0;0;0;1,8;5,8;0;3,0;9,0;1,3;0;0;0;6,5;0;8,0;2,3;6,2;3,0;0;1,8;5,0;0;0;0;0;0;0;0;0;0;4,5
"110008";"COSTA MARQUES";0;0;0;0;4,8;16,0;4,0;3,2;1,0;0;2,0;0;0;0;8,0;1,8;8,1;2,0;0;2,2;18,0;0;0;2,8;3,0;0;2,0;0;0;0;4,3
"110009";"ESPIGAO D'OESTE";0;0;0;2,2;3,3;4,2;4,5;3,0;1,6;0,5;2,0;10,0;0;0;0;2,7;5,9;1,5;1,3;1,9;8,0;9,5;0;6,3;2,8;0;0;0;0;0;3,3
"110010";"GUAJARA-MIRIM";0;0;0;1,4;4,5;5,8;2,8;5,0;1,3;0;0;18,0;0;2,0;0;3,7;7,2;1,8;0;2,4;7,0;0;0;4,5;0,5;0;0;0;0;9,0;4,0
"110011";"JARU";0;0;0;1,8;6,6;6,7;7,4;8,2;1,2;0,3;2,5;6,3;2,0;0;0,8;2,1;5,4;1,7;0,5;2,0;2,7;0;0;6,0;2,9;0;0;0;2,0;0;3,8
"110012";"JI-PARANA";2,0;0;0;0,9;4,6;6,9;4,0;3,9;1,5;1,6;1,5;14,1;11,1;0;5,0;2,7;6,1;1,9;2,0;2,0;4,5;4,3;0;5,7;5,0;0;0;0;0;8,5;3,9
"110013";"MACHADINHO D'OESTE";13,0;0;0;0,9;5,6;4,8;4,1;5,3;1,2;0;0;6,4;14,8;2,0;0,5;3,3;5,3;3,2;0;2,3;7,2;0;0;9,9;0,8;0;0;0;0;14,0;4,6
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;3,8;3,7;5,0;3,0;5,9;3,0;3,0;1,7;0;3,0;0;0;2,0;6,1;2,0;0;2,0;6,0;0;0;8,2;7,0;0;0;0;0;14,3;3,7
"110015";"OURO PRETO DO OESTE";0;0;0;0,3;3,5;5,2;4,9;3,0;1,3;5,6;0;6,0;2,8;0;4,7;1,4;3,4;1,9;0;2,1;4,0;0;0;2,7;4,6;0;0;0;2,0;6,0;2,9
"110018";"PIMENTA BUENO";0;0;0;2,0;2,6;5,6;2,3;2,6;3,0;1,0;1,8;0;1,0;0;22,0;1,1;5,4;1,2;1,0;2,0;0;0;0;3,1;2,0;0;0;0;0;0;2,5
"110020";"PORTO VELHO";3,5;3,0;7,0;4,1;9,1;6,7;7,7;4,5;1,9;5,5;2,9;8,7;6,6;2,9;6,2;3,6;5,8;1,6;2,1;2,4;6,8;4,4;1,0;6,6;3,7;0;0;0;6,9;11,1;6,3
"110025";"PRESIDENTE MEDICI";0;0;0;0,8;6,6;11,5;4,7;10,0;1,4;1,0;0;0;0;0;0;3,0;2,6;2,7;0;2,4;0;0;0;3,0;1,0;0;0;0;0;6,0;4,3
"110026";"RIO CRESPO";0;0;0;1,0;4,5;3,5;2,0;10,0;1,0;0;0;0;0;0;1,0;1,5;2,6;0;0;1,0;0;0;0;12,0;2,0;0;0;0;0;0;3,4
"110028";"ROLIM DE MOURA";4,0;0;0;1,5;4,9;5,4;5,0;6,1;2,1;9,3;2,0;43,0;1,0;0;15,0;4,0;5,5;2,1;0;2,3;1,0;17,0;0;7,8;2,2;0;0;0;0;12,0;4,3
"110029";"SANTA LUZIA D'OESTE";0;0;0;1,0;5,1;3,0;4,0;4,0;0;0;0;20,0;0;0;0;3,7;8,0;2,3;0;2,1;0;0;0;1,9;1,0;0;0;0;0;0;4,7
"110030";"VILHENA";0;0;4,0;2,4;6,1;8,7;4,7;5,7;1,7;2,8;2,8;9,1;5,8;0;1,8;3,5;6,2;2,2;1,0;2,1;9,0;12,0;1,0;3,9;1,9;0;0;0;3,5;10,0;4,5
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;2,7;3,7;4,0;3,5;4,0;1,3;0;0;1,0;2,0;0;0;1,9;5,3;2,3;0;2,2;0;0;1,0;2,2;1,0;0;0;0;0;0;3,2
"110033";"NOVA MAMORE";0;0;0;1,0;4,9;3,4;3,7;3,1;1,5;0,7;0;4,0;16,5;0;0;2,8;3,0;2,3;2,0;2,5;0;0;0;3,0;9,2;0;0;0;0;0;3,9
"110034";"ALVORADA D'OESTE";0;0;0;1,0;4,8;3,4;2,8;3,3;2,0;0;0;3,0;1,0;0;2,5;2,4;5,3;2,5;0;2,7;4,0;0;0;3,5;3,0;0;0;0;0;0;3,7
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;0,3;3,7;2,6;2,9;8,0;2,0;1,0;0;2,0;0;0;0;2,4;6,8;3,5;2,0;2,4;0;0;0;1,8;2,0;0;0;0;2,0;0;3,5
"110040";"ALTO PARAISO";0;0;0;2,1;4,9;5,0;3,2;3,5;1,1;6,0;0;0;0;0;3,0;2,2;5,5;1,0;0;1,3;6,5;2,0;0;7,0;1,5;0;0;0;0;6,5;4,0
"110045";"BURITIS";0;0;0;0,5;4,0;4,8;5,3;3,4;1,3;0,5;0;6,0;10,3;0;1,0;3,2;3,9;3,4;2,0;2,7;2,5;5,0;0;6,4;5,0;0;0;0;1,0;0;3,9
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;1,0;3,7;3,0;2,7;13,3;1,7;1,0;0;5,0;5,0;0;0;2,1;3,3;2,1;0;2,3;0;0;0;4,0;8,0;0;0;0;0;0;3,7
"110060";"CACAULANDIA";0;0;0;1,0;5,7;0;3,0;4,0;1,5;1,0;0;0;0;0;0;3,7;5,0;8,3;0;1,3;5,0;0;0;5,5;0;0;0;0;0;0;4,9
