"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"430597";"COXILHA";0;0;0;0;8,8;5,5;10,0;2,0;2,3;0;1,0;4,0;3,0;0;0,7;7,0;5,4;2,5;0;2,5;8,0;0;0;1,6;0;0;0;0;0;0;5,5
"430600";"CRISSIUMAL";1,0;0;0;0;4,8;6,2;2,2;3,3;1,2;0;0;0,8;2,5;0;3,3;2,5;2,1;1,8;0;2,6;0;2,0;1,0;3,6;1,1;0;0;0;0;0;3,9
"430605";"CRISTAL";0;0;0;0;6,8;7,6;5,0;0;3,7;1,0;2,0;22,0;1,0;3,0;1,0;3,6;4,4;1,5;1,0;2,1;0;1,0;0;11,8;9,0;0;0;0;9,0;0;5,3
"430607";"CRISTAL DO SUL";0;0;0;0;5,8;1,0;5,0;20,0;1,0;0;0;0;0;0;1,0;5,3;1,3;3,1;0;2,0;0;2,0;0;0;0;0;0;0;0;0;4,0
"430610";"CRUZ ALTA";5,0;0;0;0,5;7,8;4,4;8,1;3,4;1,5;0;0;3,3;0,9;1,0;4,6;3,9;5,8;5,3;0;2,3;6,0;7,3;0;8,6;5,2;0;0;0;9,0;9,0;5,6
"430613";"CRUZALTENSE";0;0;0;0;4,8;2,0;0;0;0;0;0;0;0;0;0,5;1,0;0,4;1,0;0;0;0;0;0;3,1;0;0;0;0;0;0;2,8
"430620";"CRUZEIRO DO SUL";0;0;0;1,4;8,3;1,9;8,0;5,3;1,4;0;0;0;3,8;0;3,6;3,7;2,3;0;0;2,1;12,5;1,0;0;2,7;0,8;0;0;0;0;0;4,6
"430630";"DAVID CANABARRO";0;2,0;0;3,0;9,8;5,7;0;0;2,0;0;0;0;1,0;0;2,6;2,5;0;0,5;0;3,0;0;0;0;2,6;3,0;0;0;0;0;0;6,3
"430632";"DERRUBADAS";0;0;0;0;6,4;2,0;13,0;0;2,0;0;0;0;0;0;1,0;2,3;2,7;1,2;0;7,5;0;0;0,3;9,3;1,0;0;0;0;0;0;4,0
"430635";"DEZESSEIS DE NOVEMBRO";0;0;0;0;5,1;7,6;2,0;0;0;0;0;2,0;5,0;0;0;6,3;3,0;1,5;0;7,0;0;0;0;4,0;1,0;0;0;0;0;0;4,9
