"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;3,1;3,4;4,8;4,7;6,9;1,8;1,8;1,0;15,0;5,7;0;0,2;4,6;4,1;2,4;1,0;2,1;11,0;0;1,5;10,3;0,8;0;0;0;0;0;3,8
"110002";"ARIQUEMES";0;0;1,0;0,6;4,7;3,6;3,6;3,3;1,6;0,3;0;5,9;3,2;1,0;5,1;3,5;4,7;2,3;0;1,6;5,2;1,3;0;7,2;3,4;0;0;0;15,5;6,0;3,9
"110003";"CABIXI";0;0;0;2,0;7,4;5,0;2,0;2,5;1,6;0;0;0;19,0;0;0;5,6;5,4;0;0;2,5;3,0;0;0;1,0;0;0;0;0;0;0;6,1
"110004";"CACOAL";31,0;0;5,5;2,4;4,9;5,8;5,0;5,6;2,1;0,5;1,5;18,3;8,8;0;6,4;3,8;4,7;2,1;2,0;2,5;7,8;0;1,8;6,6;2,9;0;0,5;0;0;0;4,4
"110005";"CEREJEIRAS";0;0;0;2,5;5,2;2,3;4,3;4,5;1,5;0;0;0;3,0;0;0;3,1;6,4;2,1;0;2,1;4,7;0;0;9,8;2,0;0;0;0;0;2,0;4,2
"110006";"COLORADO DO OESTE";0;0;0;1,0;7,4;5,5;6,8;4,8;1,7;1,0;1,3;7,0;0;1,0;11,0;9,5;4,0;4,2;0;2,5;8,0;0;0;8,5;3,7;0;0;0;0;0;6,3
"110007";"CORUMBIARA";0;0;0;1,5;6,2;5,0;4,0;4,5;1,9;0;0;0;0;0;0;3,0;9,1;1,0;0;1,7;0;0;0;0;0,5;0;0;0;0;0;4,7
"110008";"COSTA MARQUES";0;0;0;3,5;5,3;3,7;0;5,8;2,0;0;0;0;0;0;1,0;0,7;5,4;1,0;0;1,9;0;0;0;4,0;0;0;2,0;0;0;0;4,5
"110009";"ESPIGAO D'OESTE";0;0;0;2,3;3,3;6,1;9,1;2,5;2,1;0;1,5;5,0;2,7;0;2,0;2,0;5,8;5,6;2,5;2,1;0;5,0;0;5,8;2,0;0;1,0;0;0;0;3,4
"110010";"GUAJARA-MIRIM";0;0;0;1,5;5,0;7,6;2,7;5,0;1,5;3,5;0;6,0;17,0;3,0;8,5;4,0;4,1;2,3;0;2,2;0;0;0;6,9;5,2;0;0;0;0;0;4,2
"110011";"JARU";1,0;0;0;1,4;5,7;5,3;3,8;5,5;1,4;1,6;0;5,0;8,2;0;3,8;2,3;5,9;2,1;2,0;1,9;4,0;0;0;6,4;2,7;0;0;0;0;1,0;3,9
"110012";"JI-PARANA";0,7;5,0;1,0;1,7;6,1;3,8;3,8;4,0;1,6;0,5;3,0;9,3;5,6;0;5,4;2,1;5,8;2,0;1,0;2,1;1,7;6,0;2,0;4,5;1,9;0;0;0;6,0;12,4;4,2
"110013";"MACHADINHO D'OESTE";0;0;0;3,0;7,4;6,3;3,4;5,3;1,2;0;0;24,0;9,5;0;0,3;6,5;5,4;2,0;0;2,0;0;4,0;0;5,6;1,8;0;0;0;0;17,0;5,6
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;1,7;4,5;3,2;2,0;4,0;1,8;0;0;0;2,0;0;0;1,8;3,2;2,1;0;2,1;0;0;0;8,5;0;0;0,5;0;20,0;14,0;3,7
"110015";"OURO PRETO DO OESTE";0;0;0;0,7;4,6;3,4;8,8;4,4;1,3;4,0;0;0;1,0;1,0;6,0;1,7;6,9;1,8;0;3,1;10,0;0;0;6,4;2,3;0;0,5;0;0;0;3,8
"110018";"PIMENTA BUENO";0;0;0;1,7;2,8;4,5;2,8;2,7;1,6;1,5;1,0;0;11,0;0;5,0;2,7;3,7;5,5;0;2,0;15,0;5,0;3,0;2,6;1,8;0;0;0;0;0;2,8
